dataset_id,contrast,program_id,lineage,score_method,n_control,n_case,unadjusted_standardized_beta,unadjusted_hc3_low,unadjusted_hc3_high,unadjusted_p,adjusted_standardized_beta,adjusted_hc3_low,adjusted_hc3_high,adjusted_p,sign_retained,magnitude_retention_ratio,adjusted_fdr_within_context_method
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,singscore,6,4,0.4757600455933533,-1.165324650838991,2.1168447420256973,0.5698886776592895,0.6159380997780171,-1.5651251233850292,2.797001322941063,0.5799147462772102,True,1.2946402403544375,0.7345586786177996
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,standardized_mean,6,4,0.01598209596136893,-1.6573437493808034,1.6893079413035414,0.9850643550014798,0.08934405743804466,-1.6942375281593756,1.8729256430354648,0.9217883338914176,True,5.590259103311753,0.9729987968853853
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_5,endothelial,singscore,6,4,1.268240744890759,0.2014417857316837,2.3350397040498345,0.019800687862517333,1.433064106628084,-0.8430422575307288,3.709170470786897,0.21718810559690904,True,1.1299622034707,0.515821750792659
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_5,endothelial,standardized_mean,6,4,1.3531048474404688,0.32392773088504656,2.382281963995891,0.00996910699507317,1.439373540803681,-1.192237119886731,4.070984201494093,0.2837054374675889,True,1.0637561039903138,0.7070512827200498
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_6_SAENDO1,endothelial,singscore,6,4,1.5251520917411612,0.7506598883557242,2.299644295126598,0.00011353198348168331,1.7309895976049128,0.19343153692847448,3.268547658281351,0.027343654462657283,True,1.1349619536165478,0.196424338281713
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_6_SAENDO1,endothelial,standardized_mean,6,4,1.6885449589713333,1.04229742330015,2.3347924946425165,3.036342156716343e-07,1.6612691795621803,0.08007831861411163,3.242460040510249,0.039469065668585976,True,0.9838465779283903,0.1874780619257834
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_7_SAENDO2,endothelial,singscore,6,4,0.39903612171008607,-1.0921719704331152,1.8902442138532876,0.5999438043351621,0.4581391843458791,-3.3238906160949924,4.2401689847867505,0.8123261994011329,True,1.1481145676298785,0.8339923000949223
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_7_SAENDO2,endothelial,standardized_mean,6,4,0.5514947065333662,-0.8507897440138297,1.953779157080562,0.4408048695939917,0.5597565486092311,-3.2190835485550737,4.338596645773536,0.7715613224598445,True,1.0149808184520899,0.9547395801308934
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,singscore,6,4,1.1617032965456942,0.003660188057379221,2.3197464050340093,0.049276100644398,1.4480682037861392,0.8873582657592034,2.008778141813075,4.152695043586124e-07,True,1.246504342452971,7.890120582813636e-06
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,standardized_mean,6,4,1.326933851266095,0.3241567090443611,2.3297109934878293,0.009498034311148571,1.5777325261399964,0.9349649345691823,2.2205001177108104,1.5017600219107725e-06,True,1.189006162315176,2.8533440416304676e-05
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,singscore,6,4,-0.6697469785441009,-1.8468251566331633,0.5073311995449615,0.2647550830655343,-0.4701301092835041,-2.3423067778427487,1.4020465592757403,0.622589420482605,True,0.7019518181410466,0.7393249368230934
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,standardized_mean,6,4,0.08361993566457465,-1.1671063167879794,1.3343461881171286,0.8957437243756423,0.30463743430520784,-1.2131664595973637,1.8224413282077794,0.6940312123724941,True,3.6431196925001537,0.9418995025055278
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,singscore,6,4,-1.123261140221297,-2.278670153007425,0.03214787256483076,0.056719607894264085,-0.9380784121753248,-1.790525751465741,-0.0856310728849089,0.031014369202375734,True,0.8351383116400797,0.196424338281713
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,standardized_mean,6,4,-0.5955386269672964,-1.8248869135325219,0.633809659597929,0.34237070953313486,-0.45345070498725765,-1.707002210300973,0.8001008003264578,0.47832677160779113,True,0.7614127521776326,0.9088208660548032
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,singscore,6,4,-0.6022291629496866,-2.0745123591918246,0.8700540332924515,0.42271090599450134,-0.3003155370122341,-0.8698956275854864,0.2692645535610182,0.30140493094765974,True,0.4986731886933281,0.5726693688005535
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,standardized_mean,6,4,-1.0107996294538815,-2.1537950063973197,0.13219574748955698,0.08304028017927648,-0.7096129314210702,-1.381592708263975,-0.037633154578165406,0.0384741999050939,True,0.7020312540126894,0.1874780619257834
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,singscore,6,4,0.1754127804421817,-1.2208101457858715,1.5716357066702349,0.8054947254190699,0.365964904127867,-0.7027738681847089,1.4347036764404428,0.5021206949062567,True,2.0863069566843433,0.7338687079399135
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,standardized_mean,6,4,0.23684013626005834,-1.052115459842132,1.5257957323622486,0.7187411656707698,0.43263735269219017,-0.6911493761493662,1.5564240815337467,0.450510523073812,True,1.826706231148001,0.9088208660548032
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,singscore,6,4,0.27460236478196975,-1.090821484202388,1.6400262137663275,0.6934493063786548,0.523005769613674,-0.9245163083071807,1.9705278475345285,0.47883986596135975,True,1.9045931014794169,0.7338687079399135
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,standardized_mean,6,4,0.5855081652833716,-0.6634831958371161,1.8344995264038593,0.3581906671707932,0.8244605341194706,-0.5003809674265489,2.14930203566549,0.22256904196958227,True,1.4081110785542197,0.7048019662370105
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,singscore,6,4,0.5543644822493189,-0.6236413890487927,1.7323703535474304,0.3563368919122314,0.34914074836439457,-2.013715005331488,2.7119965020602774,0.7721116329103934,True,0.6298036031236443,0.8339923000949223
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,0.15669928648442819,-1.1486277518098975,1.4620263247787537,0.813983535627221,0.011076027666534816,-3.1549357518576855,3.1770878071907553,0.9945290312367402,True,0.07068333184551855,0.9945290312367403
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,singscore,6,4,0.43723906557607,-0.890965133997933,1.765443265150073,0.5187823563466127,0.1630630005874174,-1.361878538877748,1.6880045400525827,0.8339923000949223,True,0.37293785808589425,0.8339923000949223
