dataset_id,adjustment,score_method,program_left,lineage_left,program_right,lineage_right,n_donors,spearman_rho,permutation_p_two_sided,fdr_within_dataset_method_adjustment
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,17,0.32843137254901966,0.1987801219878012,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,17,0.2573529411764706,0.31716828317168283,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,18,-0.32301341589267285,0.1927807219278072,0.5471452854714529
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,18,0.2693498452012384,0.2893710628937106,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,18,0.07739938080495357,0.7584241575842415,0.90109800901098
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,18,0.1867905056759546,0.45725427457254275,0.7454444428974825
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,18,-0.034055727554179564,0.8973102689731027,0.944537125234845
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_4,endothelial,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,18,0.23219814241486067,0.3477652234776522,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,17,0.25980392156862747,0.30586941305869414,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,17,0.5098039215686275,0.03849615038496151,0.321967803219678
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,17,0.24019607843137256,0.3544645535446455,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,17,0.11029411764705883,0.6726327367263274,0.8407909209079092
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,17,0.24754901960784317,0.3374662533746625,0.6751705781802771
GSE244832,disease_group_plus_qc,singscore,RAM2019_ENDO_5,endothelial,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,17,0.44117647058823534,0.07799220077992201,0.40267973202679735
