program_left,lineage_left,program_right,lineage_right,same_sign_all_four,estimates_abs_rho_ge_0_30,minimum_absolute_rho,stable_cross_lineage_coupling
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,True,2,0.08434782608695651,False
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,False,1,0.033913043478260865,False
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,True,0,0.07598039215686275,False
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,True,0,0.02869565217391304,False
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,False,0,0.03186274509803922,False
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,False,0,0.002450980392156863,False
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,True,2,0.18627450980392157,False
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,False,2,0.10049019607843139,False
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,True,1,0.10521739130434782,False
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,False,3,0.04656862745098039,False
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,False,1,0.10049019607843139,False
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,False,3,0.04411764705882353,False
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,True,4,0.4387254901960785,True
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,True,3,0.21813725490196081,True
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,True,4,0.32843137254901966,True
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,True,2,0.13391304347826086,False
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,True,3,0.24264705882352944,True
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,False,2,0.02450980392156863,False
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,True,3,0.1985294117647059,False
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,True,3,0.28186274509803927,False
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,False,1,0.03186274509803922,False
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,False,1,0.06434782608695652,False
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,True,4,0.3052173913043478,False
