dataset_id,contrast,lineage,program_id,score_method,analysis_tier,cell_gate,real_hedges_g,genes_dropped,loo_g_min,loo_g_median,loo_g_max,loo_positive_fraction,real_expected_direction,all_loo_expected_direction,sign_stable_vs_real
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,sensitivity,20,0.9751951548637317,12,0.8480585501409388,0.9834866890773744,1.0285401717443572,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,sensitivity,20,0.7352129697162048,12,0.613878847795669,0.7389989962063261,0.8234941116589922,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,sensitivity,20,-0.0665986165286518,4,-0.6753872800681872,0.011285071150601483,0.4119567810364316,0.5,False,False,False
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,sensitivity,20,-0.330066434462207,4,-0.8932065880666352,-0.3093851026088069,0.42663949889871533,0.5,False,False,False
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,sensitivity,20,1.023921124598055,353,0.9991284649095566,1.0236305728460104,1.0580676964737687,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,sensitivity,20,1.5785220982159087,353,1.5489972932853322,1.5788625755826564,1.6087089077351682,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,sensitivity,20,0.6743233885900747,123,0.6315906140295557,0.6754432835826387,0.7095851038224438,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,sensitivity,20,0.6071834889417048,123,0.5592692509154483,0.6070669149260207,0.6402017575274039,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,sensitivity,20,-0.0542410262865378,22,-0.1985757128386238,-0.0473285471544824,0.04152307119500351,0.09090909090909091,False,False,False
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,sensitivity,20,-0.0631791589210244,22,-0.1862338278878847,-0.07184000597985546,0.03598328857588225,0.18181818181818182,False,False,False
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,sensitivity,20,-0.0192801683380104,39,-0.10668022585968778,-0.017182661788145807,0.08551866499764968,0.15384615384615385,False,False,False
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,sensitivity,20,-0.3922060682365493,39,-0.45163616522614763,-0.3923355111310235,-0.32330540566394467,0.0,False,False,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,sensitivity,20,0.4585076987651805,56,0.37517698243009456,0.4589386699107189,0.5303876148420053,1.0,True,True,True
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,sensitivity,20,0.9282365210896502,56,0.795573810873477,0.930386887308905,1.001291962770185,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,singscore,sensitivity,20,0.212880701641862,77,0.06890968996068969,0.21271174392396242,0.4061737013643368,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,standardized_mean,sensitivity,20,0.354063411793413,77,0.3079114157131002,0.35407446252742103,0.39761835180929334,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,singscore,sensitivity,20,1.0102823197513784,43,0.9116003816232412,1.0072957326910779,1.0972765397016,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,standardized_mean,sensitivity,20,1.1239390579356623,43,1.033218665955699,1.1255921189042872,1.209550983852138,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,singscore,sensitivity,20,0.1976384496314284,37,0.09633261303939297,0.19764442925968634,0.2816614043983392,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,standardized_mean,sensitivity,20,0.2367639004107953,37,0.17500939057532333,0.23006196921997735,0.29063679401114645,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,singscore,sensitivity,20,0.642251780579494,85,0.5975005626148299,0.6424114471627715,0.6839211169883295,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,standardized_mean,sensitivity,20,0.7347866658291541,85,0.7013905465386574,0.7352426601057886,0.7611353309321186,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,singscore,sensitivity,20,0.2820750123055635,48,0.20236721458370976,0.281414711531128,0.35363465792914095,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,standardized_mean,sensitivity,20,0.5559546912381191,48,0.4753473193369318,0.5557630305636334,0.6189029782636941,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,sensitivity,20,0.8455775492812895,12,0.6980424102604805,0.8393332287015546,0.9243052148376063,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,sensitivity,20,0.4097709400760803,12,0.26255080529103064,0.39160776602032304,0.5490505205038679,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,sensitivity,20,-0.2066628446177262,4,-0.9207547790088203,-0.06374802086603343,0.2046039551886774,0.5,False,False,False
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,sensitivity,20,-0.2692693567376793,4,-0.7545977294450855,-0.23601930100811008,0.4455976782525147,0.25,False,False,False
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,sensitivity,20,1.0117455393558752,353,0.9826091158154393,1.011440312996967,1.0440195394659084,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,sensitivity,20,1.7217986504377458,353,1.6918037776164574,1.7224050577126542,1.7517874583564943,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,sensitivity,20,0.4886658011766714,123,0.4347501357451191,0.4896799313046446,0.5346605622325996,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,sensitivity,20,0.5874711448758603,123,0.5268292505181734,0.5887597067718352,0.6247482229968686,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,sensitivity,20,-0.3610565818692735,22,-0.5889997466762052,-0.3455505660679884,-0.22215577583196128,0.0,False,False,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,sensitivity,20,-0.227518540968066,22,-0.40686998875344726,-0.22688909053762552,-0.08830066745221585,0.0,False,False,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,sensitivity,20,-0.1421466552973496,39,-0.25610313597175133,-0.14149249002076794,0.009003572575658982,0.02564102564102564,False,False,False
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,sensitivity,20,-0.4334340971020216,39,-0.5295017135726751,-0.4367266683480182,-0.32302041969699846,0.0,False,False,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,sensitivity,20,0.2231959607528588,56,0.1023603223232712,0.2231973187823119,0.31925250316886605,1.0,True,True,True
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,sensitivity,20,0.9255173509719616,56,0.7628350445292589,0.9336155863842186,0.9995678008906926,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_1,singscore,primary,30,-0.1986862299213923,77,-0.4633013913867714,-0.1983964262858614,-0.04747531384499209,0.0,False,False,True
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_1,standardized_mean,primary,30,-0.4695354251290236,77,-0.5313092839030276,-0.4664915353150696,-0.412632942032637,0.0,False,False,True
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_2,singscore,primary,30,0.3771342267637038,43,0.11895890618631491,0.3771805926231316,0.5512487964869348,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_2,standardized_mean,primary,30,0.3035070090193839,43,0.16714949466806006,0.3035070090193838,0.41466007709461894,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_3,singscore,primary,30,0.2458250627509955,37,0.031333450169274565,0.24887226748633687,0.3918249344260545,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_3,standardized_mean,primary,30,-0.2600182175678343,37,-0.36086029448052365,-0.2594420312105832,-0.1436746932641199,0.0,False,False,True
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_4,singscore,primary,30,0.7234367320527259,85,0.5991349421568188,0.7235454666293641,0.7968859493663853,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_4,standardized_mean,primary,30,0.6537675832552852,85,0.5999800667056399,0.6535785339747372,0.6934241908893729,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_5,singscore,primary,30,-0.079941825029944,48,-0.11991146272025054,-0.08668768265896941,0.024596908955905876,0.020833333333333332,False,False,False
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_5,standardized_mean,primary,30,0.5272677110919484,48,0.45761546519694635,0.5284659604757524,0.6026850692369478,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,primary,30,0.66183248872304,12,0.4412372845744887,0.6560404631348158,0.8271921245716531,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,primary,30,0.2166867114328128,12,0.023259051575022706,0.20658640127628827,0.46629672954053086,1.0,True,True,True
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,sensitivity,20,-0.7839955513793,4,-1.6590935550707273,-0.5904317038378623,0.07181936125051135,0.25,False,False,False
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,sensitivity,20,-0.9868433684707048,4,-1.360571159544559,-0.7741824905477639,-0.3648896223336384,0.0,False,False,True
