dataset_id,contrast,lineage,source_state,program_id,score_method,cell_gate,analysis_tier,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,effect_status
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_SAMES_A,standardized_mean,20,sensitivity,3,3,-0.10826635055983384,-0.200086711875605,-0.09182036131577116,0.3724763527382205,-0.19721061085518798,0.8000000000000002,-1.7652106108551884,1.3707893891448122,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_SAMES_B,singscore,20,sensitivity,3,3,0.3397035122500652,0.2608404263599609,-0.07886308589010427,0.04950532137499272,-1.2744179203319572,0.8000000000000002,-2.8424179203319575,0.29358207966804306,ESTIMATED
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,cluster_12,RAM2019_SAMES_B,standardized_mean,20,sensitivity,3,3,-0.013610346056516084,-0.14691241228244964,-0.13330206622593355,0.28712167104179076,-0.3714162452238761,0.7999999999999999,-1.939416245223876,1.1965837547761238,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_1,singscore,30,primary,3,6,0.6127697811480478,0.6222228744143208,0.009453093266272972,0.09461692669420807,0.08880810087160429,0.49722446816820104,-0.8857518567380698,1.0633680584812784,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_1,singscore,20,sensitivity,3,7,0.6127697811480478,0.6251968126332644,0.012427031485216622,0.08876795640718553,0.12644670429886995,0.46213042500590984,-0.7793289287127133,1.0322223373104533,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_1,standardized_mean,30,primary,3,6,-0.31052885764266575,-0.2723278855354108,0.03820097210725493,0.36884179251192584,0.09206228887361062,0.5294324882798636,-0.9456253881549219,1.1297499659021433,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_1,standardized_mean,20,sensitivity,3,7,-0.31052885764266575,-0.22957965013735662,0.08094920750530912,0.3586539355299665,0.20386061879555983,0.4995450316361699,-0.7752476432113332,1.182968880802453,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_2,singscore,30,primary,3,6,0.26742601804665544,0.3526926259679218,0.08526660792126634,0.05100018767508188,1.4861227738479545,0.7435649025178472,0.02873556491297391,2.943509982782935,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_2,singscore,20,sensitivity,3,7,0.26742601804665544,0.34119272247006666,0.07376670442341121,0.05449947336852693,1.2225437600391669,0.7061317584784176,-0.16147448657853158,2.6065620066568655,ESTIMATED
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,cluster_13,RAM2019_ENDO_2,standardized_mean,30,primary,3,6,-0.306788334013151,-0.07293226061916804,0.23385607339398296,0.1555214595508129,1.3366133898144055,0.6363556200003377,0.08935637461374357,2.5838704050150674,ESTIMATED
