gene_set_id,score_method,donor_id,scar_score,parenchyma_score,scar_minus_parenchyma
SAEndo1_primary,singscore,A2,0.4236404042098202,0.39728709799153006,0.02635330621829013
SAEndo1_primary,singscore,B1,0.40313220680112377,0.38838106419556384,0.01475114260555993
SAEndo1_primary,singscore,B2,0.41099836471130863,0.33313346471550176,0.07786489999580687
SAEndo1_primary,singscore,C1,0.39530797937020423,0.3634869386557088,0.03182104071449543
SAEndo1_primary,singscore,C2,0.4045033334731015,0.3957147050190784,0.008788628454023117
SAEndo1_primary,singscore,D1,0.3949473772485219,0.3452849176066083,0.049662459641913625
SAEndo1_primary,singscore,D2,0.39094720952660494,0.36519770220973624,0.025749507316868703
Endo2_secondary,standardized_mean,A1,0.43215748772757795,-1.0326241105542264,1.4647815982818044
Endo2_secondary,standardized_mean,A2,0.8352439436673964,-1.033731637000895,1.8689755806682915
Endo2_secondary,standardized_mean,B1,0.32972800145761855,-0.6453183979034463,0.9750463993610647
Endo2_secondary,standardized_mean,B2,0.6685299123215751,-1.1975847622151523,1.8661146745367274
Endo2_secondary,standardized_mean,C1,0.6737793554181566,-0.6079309790034724,1.281710334421629
Endo2_secondary,standardized_mean,C2,1.0802281490267363,-0.7476574827306562,1.8278856317573924
Endo2_secondary,standardized_mean,D1,0.48714122392724035,-0.36911632733222166,0.856257551259462
Endo2_secondary,standardized_mean,D2,1.0391185982462185,0.08803702494754961,0.9510815732986689
Endo2_secondary,singscore,A1,0.3722772936588783,0.3412734039903017,0.03100388966857659
Endo2_secondary,singscore,A2,0.38283514168802246,0.3368435721808535,0.04599156950716898
Endo2_secondary,singscore,B1,0.3802329854747887,0.35189044799017344,0.028342537484615238
Endo2_secondary,singscore,B2,0.3846998147659416,0.32357874174031215,0.06112107302562947
Endo2_secondary,singscore,C1,0.38386490492880454,0.35442354223755834,0.029441362691246198
Endo2_secondary,singscore,C2,0.40510392592610855,0.35946383249513486,0.045640093430973694
Endo2_secondary,singscore,D1,0.37059020849314195,0.3602099483761805,0.01038026011696147
Endo2_secondary,singscore,D2,0.38532013920919117,0.36276524111258823,0.022554898096602938
SAEndo1_secondary,standardized_mean,A1,0.8100822027706669,-0.9437408465733635,1.7538230493440303
SAEndo1_secondary,standardized_mean,A2,1.0271457191643523,-0.5355299594993681,1.5626756786637204
SAEndo1_secondary,standardized_mean,B1,-0.03345580339537171,-0.4216189082296881,0.38816310483431643
SAEndo1_secondary,standardized_mean,B2,0.49465057878555485,-1.0227305280278693,1.5173811068134242
SAEndo1_secondary,standardized_mean,C1,0.6955883186499127,-0.7362753915296322,1.4318637101795448
SAEndo1_secondary,standardized_mean,C2,0.7692781095700795,-0.5461787832183723,1.3154568927884518
SAEndo1_secondary,standardized_mean,D1,0.08126681882060936,-0.6678037051180459,0.7490705239386553
SAEndo1_secondary,standardized_mean,D2,0.829173531405969,0.20014864642456454,0.6290248849814045
SAEndo1_secondary,singscore,A1,0.35142284092973847,0.3252896697275917,0.026133171202146754
SAEndo1_secondary,singscore,A2,0.3627580471578124,0.3341090471997428,0.028648999958069576
SAEndo1_secondary,singscore,B1,0.3293988566955987,0.32621563447803553,0.0031832222175631752
SAEndo1_secondary,singscore,B2,0.350475910939662,0.27271234293541313,0.07776356800424888
SAEndo1_secondary,singscore,C1,0.3529323381832921,0.30081624666303264,0.05211609152025948
SAEndo1_secondary,singscore,C2,0.3398046039666233,0.33855717220847836,0.0012474317581449568
SAEndo1_secondary,singscore,D1,0.32297650495478497,0.28272673906662754,0.04024976588815743
SAEndo1_secondary,singscore,D2,0.3215473744531567,0.30678435154513817,0.014763022908018508
