lineage,program_id,score_method,source_state,mean_fraction_control,mean_fraction_case,mean_intensity_control,mean_intensity_case,abundance_component,intensity_component,combined_component,dataset_id,contrast
endothelial,RAM2019_ENDO_5,singscore,cluster_13,0.009262712959820221,0.040590788808465145,0.15924181414905245,0.135921662554605,0.004623451892960959,-0.0005812956093752343,0.004042156283585725,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,singscore,cluster_15,0.08161984553750526,0.12523901019095934,0.4651387620558173,0.47831204540356953,0.0205762680565026,0.001362505159751434,0.021938773216254034,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,singscore,cluster_16,0.14094032679455448,0.11755635218145641,0.4242604630608692,0.38291471744261796,-0.0094374819646082,-0.005343868966052447,-0.014781350930660648,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,singscore,cluster_19,0.0018878101402373248,0.0008305647840531562,0.28719279694959776,0.07342833797942894,-0.00019063251012278897,-0.00029054597248451416,-0.00048117848260730315,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,singscore,cluster_2,0.0033783783783783786,0.0,0.07181889305435396,0.07181889305435396,-0.00024263139545389854,0.0,-0.00024263139545389854,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,singscore,cluster_21,0.015945468786674157,0.005086850061502029,0.22342196294872202,0.25838466735023013,-0.002615877248838143,0.0003676733733835258,-0.0022482038754546175,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,singscore,cluster_4,0.0033783783783783786,0.0,0.14102101957768598,0.14102101957768598,-0.00047642236343812833,0.0,-0.00047642236343812833,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,singscore,cluster_6,0.5359209375315033,0.44740625130741707,0.4986495615580976,0.43519163809584843,-0.04132933038524663,-0.031199950743844414,-0.07252928112909104,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_0,0.008463241398394982,0.0,-1.3694547234880834,-1.3694547234880834,0.0115900259090519,0.0,0.0115900259090519,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_1,0.0,0.0017730496453900709,-3.9591005424606824,-3.9591005424606824,-0.00701968181287355,0.0,-0.00701968181287355,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_11,0.19807997061084343,0.26151713302075674,-0.22674698934356213,-0.40404950131606815,-0.02000796971278917,-0.04074386048458544,-0.06075183019737461,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_12,0.001122929483710159,0.0,-3.118879250239078,-3.118879250239078,0.003502281466225296,0.0,0.003502281466225296,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_13,0.009262712959820221,0.040590788808465145,-1.8259617914873203,-2.201701618876606,-0.06308947240634648,-0.009365973074583494,-0.07245544548092997,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_15,0.08161984553750526,0.12523901019095934,0.05949368881851041,0.11903253748912193,0.003893582430136211,0.006158069053696457,0.010051651483832668,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_16,0.14094032679455448,0.11755635218145641,-0.26830335789740584,-0.3328520955963129,0.007028701931511289,-0.008342817163630556,-0.0013141152321192668,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_19,0.0018878101402373248,0.0008305647840531562,-1.0560238912490951,-2.9029117667881152,0.002092783169945878,-0.0025102668444206954,-0.0004174836744748173,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_2,0.0033783783783783786,0.0,-2.5974790404224444,-2.5974790404224444,0.008775267028454204,0.0,0.008775267028454204,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_21,0.015945468786674157,0.005086850061502029,-1.3243339376619727,-1.2468236631646141,0.01395961003485211,0.0008151104036190525,0.014774720438471162,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_4,0.0033783783783783786,0.0,-1.723916201247853,-1.723916201247853,0.005824041220431936,0.0,0.005824041220431936,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_5,standardized_mean,cluster_6,0.5359209375315033,0.44740625130741707,0.0673124293777291,0.02141717336556493,-0.003926936472805244,-0.022565026537741978,-0.026491963010547223,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_0,0.008463241398394982,0.0,0.14064250280044804,0.14064250280044804,-0.001190291452074634,0.0,-0.001190291452074634,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_1,0.0,0.0017730496453900709,0.027300368058889468,0.027300368058889468,4.840490790583239e-05,0.0,4.840490790583239e-05,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_11,0.19807997061084343,0.26151713302075674,0.3472688963567504,0.39547527604416705,0.023558791346806825,0.011077756240450947,0.034636547587257774,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_12,0.001122929483710159,0.0,0.213922227556409,0.213922227556409,-0.00024021957654404554,0.0,-0.00024021957654404554,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_13,0.009262712959820221,0.040590788808465145,0.18741754236233357,0.16120979356697065,0.005460911811452128,-0.0006532740254562019,0.004807637785995926,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_15,0.08161984553750526,0.12523901019095934,0.4713200778791273,0.4903044487117939,0.02097262928008461,0.001963542613585129,0.02293617189366974,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_16,0.14094032679455448,0.11755635218145641,0.4418653651250867,0.37885461673867815,-0.009595847610182295,-0.008144034598839821,-0.017739882209022118,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_19,0.0018878101402373248,0.0008305647840531562,0.31766682669227086,-0.030532885261641884,-0.00015178551309019477,-0.00047326868281034244,-0.0006250541959005372,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_2,0.0033783783783783786,0.0,0.15257107803915293,0.15257107803915293,-0.0005154428312133545,0.0,-0.0005154428312133545,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_21,0.015945468786674157,0.005086850061502029,0.31079972795647304,0.1323065023737131,-0.0024057608049518966,-0.0018770632163480228,-0.0042828240212999195,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_4,0.0033783783783783786,0.0,0.20852669760495002,0.20852669760495002,-0.0007044820865032095,0.0,-0.0007044820865032095,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,singscore,cluster_6,0.5359209375315033,0.44740625130741707,0.39729356697071533,0.43613378140502485,-0.03688528011602541,0.01909631943679522,-0.017788960679230192,GSE202379,clinical_cirrhosis_vs_healthy
endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,cluster_0,0.008463241398394982,0.0,-1.9008661528079962,-1.9008661528079962,0.016087489117252433,0.0,0.016087489117252433,GSE202379,clinical_cirrhosis_vs_healthy
