dataset_id,contrast,program_id,lineage,score_method,analysis_tier,cell_gate,coverage_tier,program_coverage,expected_direction,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode,source_file,annotation_limitation,etiology_limitation,endpoint_limitation,uncertainty_status,permutation_status,assay,annotation_role,endpoint_family,expected_direction_observed,formal_primary_row,comparable_advanced_sensitivity_input
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,singscore,primary,30,primary,0.9491525423728814,positive_case_higher,3,7,0.2962498531029988,0.3295027828124294,0.0332529297094306,0.062570629131044,0.5314463058983747,0.48001601823079,0.9885006891936408,-1.457445332588746,2.417477369050326,0.700422327813984,-0.8928117442846186,1.8528437807461984,0.4416666666666666,exact_120_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,True,True,False
GSE202379,advanced_f3f4_vs_f0_non_end_stage,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,standardized_mean,primary,30,primary,0.9491525423728814,positive_case_higher,3,7,-0.2739148313466659,0.0704454808474986,0.3443603121941645,0.2084735896534801,1.651817444917373,1.491964143796337,1.0059484415576017,-0.4796948016565623,3.463623089249236,0.7844187587563465,-0.0454966233661022,3.029424910958776,0.0333333333333333,exact_120_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,advanced_f3f4_vs_f0,True,True,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,singscore,primary,30,primary,0.9625,positive_case_higher,4,4,0.8139687445332089,0.8051514873836875,-0.0088172571495214,0.0385893885703707,-0.2284891644096012,-0.1986862299213923,0.7099970268936756,-1.5902804026329964,1.1929079427902118,0.709429126009097,-1.5891673168992224,1.1917948570564378,0.7428571428571429,exact_70_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,clinical_cirrhosis_vs_healthy,False,True,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,standardized_mean,primary,30,primary,0.9625,positive_case_higher,4,4,0.1519743754758865,-0.0995052897634411,-0.2514796652393277,0.4657326328747994,-0.5399657388983772,-0.4695354251290236,0.7099970268936755,-1.8611295978406277,0.9220587475825804,0.7199805272512059,-1.880697258541387,0.94162640828334,0.4,exact_70_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,clinical_cirrhosis_vs_healthy,False,True,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,singscore,primary,30,primary,0.9555555555555556,positive_case_higher,4,4,0.2808284446007382,0.3100418193386688,0.0292133747379306,0.0673578072526381,0.4337043607782593,0.3771342267637038,0.7099970268936755,-1.0144599459479,1.7687283994753078,0.715438689721014,-1.0251256050894837,1.7793940586168913,0.5428571428571428,exact_70_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,clinical_cirrhosis_vs_healthy,True,True,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,standardized_mean,primary,30,primary,0.9555555555555556,positive_case_higher,4,4,-0.1734745719724376,-0.0524626870582611,0.1210118849141764,0.346706082183449,0.3490330603722915,0.3035070090193839,0.7099970268936754,-1.0880871636922198,1.6951011817309876,0.7125141229316028,-1.0930206719265576,1.7000346899653254,0.7142857142857143,exact_70_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,clinical_cirrhosis_vs_healthy,True,True,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,singscore,primary,30,primary,0.9487179487179488,positive_case_higher,4,4,0.5864159322679502,0.6005865089945808,0.0141705767266305,0.0501260550651594,0.2826988221636448,0.2458250627509955,0.7099970268936755,-1.1457691099606084,1.6374192354625994,0.7106587297170451,-1.147066047494413,1.638716172996404,0.8285714285714286,exact_70_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,clinical_cirrhosis_vs_healthy,True,True,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,standardized_mean,primary,30,primary,0.9487179487179488,positive_case_higher,4,4,0.0153868302007663,-0.0913605773856231,-0.1067474075863894,0.3569897276893715,-0.2990209502030095,-0.2600182175678343,0.7099970268936756,-1.6516123902794384,1.13157595514377,0.7110795474410226,-1.6537341305522386,1.13369769541657,0.6857142857142857,exact_70_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,clinical_cirrhosis_vs_healthy,False,True,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,singscore,primary,30,primary,0.9659090909090908,positive_case_higher,4,4,0.5757986994361456,0.6404913723477329,0.0646926729115873,0.0777600800340464,0.8319522418606348,0.7234367320527259,0.7099970268936756,-0.6681574406588783,2.11503090476433,0.7373014255424488,-0.7216740620104739,2.1685475261159257,0.3142857142857143,exact_70_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,clinical_cirrhosis_vs_healthy,True,True,False
GSE202379,clinical_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,standardized_mean,primary,30,primary,0.9659090909090908,positive_case_higher,4,4,-0.2034397337904545,0.1614755457988479,0.3649152795893025,0.4853676483093124,0.751832720743578,0.6537675832552852,0.7099970268936756,-0.737826589456319,2.0453617559668893,0.7318590513727954,-0.7806761574353938,2.088211323945964,0.3428571428571428,exact_70_allocations,results/primary/gse202379_primary_effects.csv,,,,,,snRNA-seq,author labels,clinical_cirrhosis_vs_healthy,True,True,False
