dataset_id,trend,lineage,program_id,score_method,n_donors,n_normal,n_masl,n_mash,spearman_rho,permutation_p_two_sided,permutations,theil_sen_slope_per_level,theil_sen_intercept,theil_sen_ci95_low,theil_sen_ci95_high,fdr_within_lineage_method,cohort,fdr,analysis_tier,cell_gate,n_f0,n_fibrosis,n_cirrhosis,permutation_mode,permutation_fdr_within_lineage_method
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,18.0,5.0,4.0,9.0,0.3333900313544155,0.1780821917808219,10000.0,0.2251756349334894,-0.2404558030658232,-0.138924006719301,0.5266110796978583,0.2136986301369862,GSE244832: normal→MASL→MASH,0.2136986301369862,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,18.0,5.0,4.0,9.0,0.6319817766078651,0.0078992100789921,10000.0,0.0324366001516424,0.2399741029350418,0.0120028373057256,0.0515922453788522,0.0451954804519547,GSE244832: normal→MASL→MASH,0.0451954804519547,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,18.0,5.0,4.0,9.0,0.4692155996839922,0.0505949405059494,10000.0,0.1769729574530034,-0.2910423427467901,0.0056192585478969,0.2656589524904356,0.1481851814818518,GSE244832: normal→MASL→MASH,0.1481851814818518,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,18.0,5.0,4.0,9.0,0.563507729764029,0.017998200179982,10000.0,0.0402618629479576,0.5395412127679924,0.0068353771452418,0.0771821097268348,0.0451954804519547,GSE244832: normal→MASL→MASH,0.0451954804519547,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,18.0,5.0,4.0,9.0,0.4355398389411219,0.0740925907409259,10000.0,0.2020821293107648,-0.2721028022184776,-0.0214529586868474,0.3910953094290277,0.1481851814818518,GSE244832: normal→MASL→MASH,0.1481851814818518,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,18.0,5.0,4.0,9.0,-0.0022450507161913,0.995000499950005,10000.0,0.0003395125736724,0.4372286408124219,-0.0338099331678696,0.0401210203439948,0.995000499950005,GSE244832: normal→MASL→MASH,0.995000499950005,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,18.0,5.0,4.0,9.0,-0.0112252535809567,0.9657034296570344,10000.0,-0.0094632004866747,0.0602570353872392,-0.2490244560631659,0.2300980550898164,0.9657034296570344,GSE244832: normal→MASL→MASH,0.9657034296570344,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,18.0,5.0,4.0,9.0,0.4344173135830262,0.0718928107189281,10000.0,0.0277932793104919,0.6497273667933916,-0.0040294296598574,0.0610755544704483,0.0862713728627137,GSE244832: normal→MASL→MASH,0.0862713728627137,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,18.0,5.0,4.0,9.0,0.5287094436630629,0.0283971602839716,10000.0,0.1688641994945401,-0.1693487578392342,0.0155896740368531,0.3642176115662551,0.1481851814818518,GSE244832: normal→MASL→MASH,0.1481851814818518,,,,,,,
GSE244832,NORMAL_to_MASL_to_MASH,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,18.0,5.0,4.0,9.0,0.5433022733183067,0.0225977402259774,10000.0,0.0388985580012476,0.3818296042200212,0.0061027815194847,0.0715722476283612,0.0451954804519547,GSE244832: normal→MASL→MASH,0.0451954804519547,,,,,,,
