dataset_id,contrast,lineage,program_id,score_method,n_control,n_case,hedges_g,robust_ci95_width,minimum_detectable_cohens_d_80_power,balanced_n_per_group_for_observed_absolute_g_80_power
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,3,7,-0.0516422196485782,1.766091047288194,1.933277470582397,
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,3,7,-0.1376291772255109,1.7164710387376667,1.933277470582397,829.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,3,7,0.9377579239097048,3.6428210502969023,1.933277470582397,18.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,3,7,0.993285868224506,3.004503260222572,1.933277470582397,16.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,3,7,-0.0532231086074135,3.896277576507224,1.933277470582397,
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,3,7,0.0650736310734012,4.15110767963288,1.933277470582397,
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,3,7,-0.0847673268399933,3.5052600223910724,1.933277470582397,
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,3,7,-0.4012080682452838,2.886711367907112,1.933277470582397,98.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,3,7,0.48001601823079,3.874922701639072,1.933277470582397,69.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,3,7,1.491964143796337,3.9433178909057984,1.933277470582397,8.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_1,singscore,4,4,-0.1986862299213923,2.7831883454232083,1.981019905799673,398.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_1,standardized_mean,4,4,-0.4695354251290236,2.7831883454232083,1.981019905799673,72.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_2,singscore,4,4,0.3771342267637038,2.783188345423208,1.981019905799673,111.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_2,standardized_mean,4,4,0.3035070090193839,2.783188345423208,1.981019905799673,171.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_3,singscore,4,4,0.2458250627509955,2.783188345423208,1.981019905799673,260.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_3,standardized_mean,4,4,-0.2600182175678343,2.7831883454232083,1.981019905799673,233.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_4,singscore,4,4,0.7234367320527259,2.7831883454232083,1.981019905799673,30.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_4,standardized_mean,4,4,0.6537675832552852,2.7831883454232083,1.981019905799673,37.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_5,singscore,4,4,-0.079941825029944,2.783188345423208,1.981019905799673,
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_5,standardized_mean,4,4,0.5272677110919484,2.7831883454232083,1.981019905799673,57.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,4,4,0.66183248872304,2.783188345423207,1.981019905799673,36.0
GSE202379,clinical_cirrhosis_vs_healthy,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,4,4,0.2166867114328128,2.783188345423208,1.981019905799673,335.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,3,12,0.7436595196662159,3.388484147841432,1.8084154821220664,29.0
GSE202379,advanced_f3f4_vs_f0_non_end_stage,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,3,12,1.3929130600042816,2.8884556797835685,1.8084154821220664,9.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,singscore,5,20,-0.0735896451113106,2.102683735686813,1.4007926090564842,
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,standardized_mean,5,20,-0.1978609637708955,1.6708414896554336,1.4007926090564842,401.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,singscore,5,20,1.0265721631066531,1.5952746348659426,1.4007926090564842,15.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,standardized_mean,5,20,1.0507436931522225,1.6553707596731748,1.4007926090564842,15.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,singscore,5,20,0.2413602839492791,1.3811371577972784,1.4007926090564842,270.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,standardized_mean,5,20,0.0348320654475889,1.2564692900437826,1.4007926090564842,
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,singscore,5,20,0.5599202498739436,1.3975756218040205,1.4007926090564842,51.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,standardized_mean,5,20,0.4803578940319205,1.3733459411155693,1.4007926090564842,69.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,singscore,5,20,0.3014523175669221,1.8545840912144431,1.4007926090564842,173.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,standardized_mean,5,20,0.576473473549639,2.022933689713927,1.4007926090564842,48.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,5,20,0.9751951548637317,1.878278363806856,1.4007926090564842,17.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,5,20,0.7352129697162048,1.7344829749359625,1.4007926090564842,30.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,3,17,-0.0665986165286518,1.1163999397444613,1.7544207171274273,
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,3,17,-0.330066434462207,1.045234087517655,1.7544207171274273,145.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,3,17,1.023921124598055,3.0953501716475387,1.7544207171274273,15.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,3,17,1.5785220982159087,2.8556587873346317,1.7544207171274273,7.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,3,17,0.6743233885900747,2.6888694347159827,1.7544207171274273,35.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,3,17,0.6071834889417048,2.2782117335673577,1.7544207171274273,43.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,3,17,-0.0542410262865378,2.655975020464103,1.7544207171274273,
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,3,17,-0.0631791589210244,2.927137644890156,1.7544207171274273,
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,3,17,-0.0192801683380104,3.008540684135859,1.7544207171274273,
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,3,17,-0.3922060682365493,2.117860685934178,1.7544207171274273,103.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,3,17,0.4585076987651805,2.680498861622885,1.7544207171274273,75.0
GSE202379,advanced_f3f4_vs_f0_pooled_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,3,17,0.9282365210896502,2.7291918825385286,1.7544207171274273,19.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,singscore,5,35,0.212880701641862,2.486798065897715,1.339413921670783,347.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_1,standardized_mean,5,35,0.354063411793413,2.2092879364805285,1.339413921670783,126.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,singscore,5,35,1.0102823197513784,2.169905959477972,1.339413921670783,16.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_2,standardized_mean,5,35,1.1239390579356623,1.8982404106809796,1.339413921670783,13.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,singscore,5,35,0.1976384496314284,1.170413796773062,1.339413921670783,402.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_3,standardized_mean,5,35,0.2367639004107953,1.0382406675617115,1.339413921670783,281.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,singscore,5,35,0.642251780579494,1.358797699577058,1.339413921670783,39.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_4,standardized_mean,5,35,0.7347866658291541,1.3932486119544238,1.339413921670783,30.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,singscore,5,35,0.2820750123055635,1.9595766476559944,1.339413921670783,198.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_5,standardized_mean,5,35,0.5559546912381191,2.1704303175154736,1.339413921670783,51.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,5,35,0.8455775492812895,3.0384327774323823,1.339413921670783,22.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,5,35,0.4097709400760803,2.6424836233634776,1.339413921670783,94.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,3,29,-0.2066628446177262,0.928864873043848,1.6991010182168134,368.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,3,29,-0.2692693567376793,0.8306292912288222,1.6991010182168134,217.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,3,29,1.0117455393558752,3.587549569003479,1.6991010182168134,16.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,3,29,1.7217986504377458,2.992092969872157,1.6991010182168134,6.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,3,29,0.4886658011766714,3.185969014261153,1.6991010182168134,66.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,3,29,0.5874711448758603,2.43256289862084,1.6991010182168134,46.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,3,29,-0.3610565818692735,3.270563511704701,1.6991010182168134,121.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,3,29,-0.227518540968066,3.49374505695065,1.6991010182168134,304.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,3,29,-0.1421466552973496,3.610706249589817,1.6991010182168134,777.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,3,29,-0.4334340971020216,2.331764842611635,1.6991010182168134,84.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,3,29,0.2231959607528588,3.791515581693082,1.6991010182168134,316.0
GSE202379,all_f1f4_vs_f0_non_end_stage_sensitivity,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,3,29,0.9255173509719616,3.3600052966833056,1.6991010182168134,19.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,3,4,-0.7839955513793,2.611452498092153,2.1397460546453404,26.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,3,4,-0.9868433684707048,2.607529302044166,2.1397460546453404,17.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,3,4,0.4452415462110028,3.156725255510425,2.1397460546453404,80.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,3,4,0.920744195317323,3.0780893245691723,2.1397460546453404,19.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,3,4,0.6804435557610932,3.413432384319608,2.1397460546453404,34.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,3,4,1.7048465420310592,3.492011479146158,2.1397460546453404,6.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,3,4,-0.6999414807906023,2.517280658355124,2.1397460546453404,33.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,3,4,-0.4076663805172247,2.610185476465271,2.1397460546453404,95.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,3,4,-0.5320352831767209,3.0671634473044813,2.1397460546453404,56.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,3,4,-0.289346981197275,3.1847888696826816,2.1397460546453404,188.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,3,4,-1.7365552283809131,3.127043679305486,2.1397460546453404,6.0
GSE202379,clinical_cirrhosis_vs_healthy,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,3,4,0.0421420790546528,3.1330395522251147,2.1397460546453404,
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_1,singscore,4,5,-0.5235667400938813,2.5175414871362194,1.879360497737752,58.0
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_1,standardized_mean,4,5,-1.2829300670088273,2.460666227298086,1.879360497737752,10.0
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_2,singscore,4,5,3.982788864136341,2.8081347811343003,1.879360497737752,3.0
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_2,standardized_mean,4,5,3.627460595858405,2.6285534684223464,1.879360497737752,3.0
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_3,singscore,4,5,1.6310308826785764,2.795742275179679,1.879360497737752,6.0
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_3,standardized_mean,4,5,-0.4118000950347542,2.4758888472060345,1.879360497737752,93.0
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_4,singscore,4,5,0.9706561520102596,2.436721234561592,1.879360497737752,17.0
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_4,standardized_mean,4,5,0.3427464149554757,2.38030850443582,1.879360497737752,134.0
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_5,singscore,4,5,0.9132750085770276,2.619395853052483,1.879360497737752,19.0
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_5,standardized_mean,4,5,0.8793725269364241,2.541057207073529,1.879360497737752,21.0
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,4,5,3.044262412816208,2.9638437217975526,1.879360497737752,3.0
GSE202379,end_stage_vs_healthy_separate_stratum,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,4,5,2.697321120825605,2.883929382336495,1.879360497737752,3.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,3,5,1.0745242636981105,2.6141168927632084,2.045988560978005,14.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,3,5,1.010708918196248,3.040316524498041,2.045988560978005,16.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,3,5,1.518891018678525,3.2108237355562133,2.045988560978005,7.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,3,5,0.2145268216786603,2.899063691606009,2.045988560978005,342.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,3,5,2.578189761353315,3.3991839337061984,2.045988560978005,3.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,3,5,1.108693531172946,3.117913344145018,2.045988560978005,13.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,3,5,-0.670168087027942,2.758262478325837,2.045988560978005,35.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,3,5,-0.7806193408478683,2.6470147967385733,2.045988560978005,26.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,3,5,1.0435114601629605,3.5208092324218385,2.045988560978005,15.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,3,5,0.1962282749573973,2.400425594083989,2.045988560978005,408.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,3,5,0.1317452203653875,3.049378066593736,2.045988560978005,905.0
GSE202379,end_stage_vs_healthy_separate_stratum,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,3,5,-0.1592615517777679,2.8889001605351883,2.045988560978005,619.0
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,3,5,0.4068064835834196,2.317349442164704,2.045988560978005,95.0
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,3,5,0.0373857976535181,2.388996435450917,2.045988560978005,
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,3,5,1.5981160756296469,2.929549077847533,2.045988560978005,7.0
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,3,5,1.170671713593454,2.962267942206008,2.045988560978005,12.0
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,3,5,1.4990189321613303,2.802415916510326,2.045988560978005,7.0
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,standardized_mean,3,5,0.7974772621479973,2.747577187751346,2.045988560978005,25.0
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,singscore,3,5,0.7336057649335807,2.4211129709806603,2.045988560978005,30.0
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_MES_VSMC,standardized_mean,3,5,0.2761599707515699,2.699069755253736,2.045988560978005,206.0
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,singscore,3,5,0.3826480978853818,2.9301499109024496,2.045988560978005,108.0
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_A,standardized_mean,3,5,-0.0180094271570694,2.769863819209928,2.045988560978005,
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,singscore,3,5,1.125760232633681,2.3658859582280667,2.045988560978005,13.0
GSE202379,end_stage_vs_healthy_separate_stratum,mesenchymal_hsc_myofibroblast,RAM2019_SAMES_B,standardized_mean,3,5,0.9433122086634594,2.588157144655378,2.045988560978005,18.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_1,singscore,3,21,-0.2034764671939399,6.347237706725329,1.7291759374364355,380.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_1,standardized_mean,3,21,1.2433576003244078,4.9641053266239545,1.7291759374364355,11.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_2,singscore,3,21,0.0978852036484193,1.7725241853776583,1.7291759374364355,
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_2,standardized_mean,3,21,0.6608294462672002,1.116912842821186,1.7291759374364355,36.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_3,singscore,3,21,1.1060843506860718,3.529820998906545,1.7291759374364355,13.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_3,standardized_mean,3,21,1.884239533737206,2.912041891489181,1.7291759374364355,5.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_4,singscore,3,21,0.9567728118587068,4.1128740884314245,1.7291759374364355,18.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_4,standardized_mean,3,21,1.8372969041146705,4.031447187370387,1.7291759374364355,5.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_5,singscore,3,21,-0.132771057931915,1.925427463722885,1.7291759374364355,891.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_5,standardized_mean,3,21,0.0724880979664359,3.235415721713625,1.7291759374364355,
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,3,21,-0.4842258965932762,1.3177069845325322,1.7291759374364355,67.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,3,21,0.6454772079826945,2.530207811121646,1.7291759374364355,38.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_7_SAENDO2,singscore,3,21,-4.496988570378306,1.7665047975742945,1.7291759374364355,3.0
GSE290642_human,all_fibrosis_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_7_SAENDO2,standardized_mean,3,21,-1.5193414325843737,2.379454441248752,1.7291759374364355,7.0
GSE290642_human,f4_vs_f0_reconstructed_label_sensitivity,endothelial,RAM2019_ENDO_1,singscore,3,3,-0.3093798964208567,3.136000000000001,2.2874847517668964,165.0
