dataset_id,contrast,lineage,program_id,score_method,cell_gate,analysis_tier,coverage_tier,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,30,primary,primary,5,4,0.7258201463099109,0.8123343081253929,0.086514161815482,0.1371481445734452,0.6308081096142876,0.5607183196571445,0.6426531857938599,-0.6988819244988208,1.8203185638131096,0.6873554411136275,-0.7864983449255653,1.907934984239854,0.365079365079365,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,30,primary,primary,5,4,0.1035546746347444,0.472865726819913,0.3693110521851686,0.5654739503865407,0.6531000268583882,0.5805333572074561,0.6722928524155762,-0.7371606335270732,1.898227347941985,0.6885294359736429,-0.7689843373008839,1.9300510517157965,0.3174603174603174,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_7_SAENDO2,singscore,30,primary,primary,5,4,0.5289809041690285,0.3152304888298184,-0.21375041533921,0.182866808309726,-1.168885798986417,-1.0390095990990371,0.7533561911794505,-2.5155877338107606,0.4375685356126857,0.7260234621858178,-2.46201558498324,0.3839963867851654,0.0952380952380952,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_7_SAENDO2,standardized_mean,30,primary,primary,5,4,0.3066221196734256,-0.2302254389038957,-0.5368475585773214,0.5198971154799035,-1.03260345670849,-0.9178697392964356,0.7382439125705044,-2.364827807934624,0.5290883293417529,0.7142670998161136,-2.3178332549360183,0.4820937763431471,0.1666666666666666,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,30,primary,primary,3,4,0.5828265100156645,0.4485949171411191,-0.1342315928745454,0.085022241888623,-1.578782091518892,-1.329500708647488,0.6316585603355284,-2.5675514869051232,-0.0914499303898523,0.8718317192914872,-3.0382908784588025,0.3792894611638269,0.1142857142857142,exact_35_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,30,primary,primary,3,4,0.3452678884365558,-0.0074944784194123,-0.3527623668559682,0.2873017983170857,-1.2278460104403377,-1.0339755877392316,0.6715954381162499,-2.3503026464470813,0.2823514709686181,0.8308091748033373,-2.662361570353773,0.5944103948753094,0.1714285714285714,exact_35_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,30,primary,primary,3,4,0.6759958610090964,0.541706917142558,-0.1342889438665383,0.0802085790096517,-1.6742466395069646,-1.4098919069532332,0.6766646367851593,-2.7361545950521453,-0.083629218854321,0.8843714447349348,-3.143259938633705,0.3234761247272388,0.1428571428571428,exact_35_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,30,primary,primary,3,4,0.2038362007369019,-0.09704180480227,-0.300878005539172,0.1773243592837126,-1.696766348146099,-1.428855872123031,0.6668476190457165,-2.735877205452635,-0.1218345387934263,0.8874098510065009,-3.1681791800957724,0.310467435849711,0.1142857142857142,exact_35_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,30,primary,primary,3,4,0.7965095899622826,0.7273291464135525,-0.0691804435487301,0.0771474940725578,-0.8967296265471093,-0.7551407381449341,0.6711609674046126,-2.0706162342579746,0.5603347579681065,0.8002231481117883,-2.323578108444039,0.8132966321541709,0.2285714285714285,exact_35_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,30,primary,primary,3,4,0.0283873016496326,-0.234152907370979,-0.2625402090206116,0.4336346419919199,-0.6054410409062836,-0.5098450870789756,0.673425031491341,-1.829758148802004,0.8100679746440528,0.7805943470299987,-2.039810007257773,1.0201198330998218,0.5428571428571428,exact_35_allocations
