dataset_id,analysis_set,lineage,program_id,score_method,histology_axis,n_donors,n_levels,spearman_rho,permutation_p_two_sided,permutations,fdr_within_set_lineage_method_axis
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,standardized_mean,ballooning,37,3,0.1281886945612382,0.4512548745125487,10000,0.7888011198880113
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_5,standardized_mean,inflammation,37,3,-0.1875180421481123,0.2763723627637236,10000,0.7858014198580141
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,fibrosis,39,5,0.1788727225686802,0.2755724427557244,10000,0.8088391160883912
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,steatosis,37,4,0.0789686018074678,0.6447355264473552,10000,0.927007299270073
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,ballooning,37,3,0.2628279979494338,0.1176882311768823,10000,0.4673532646735326
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,inflammation,37,3,-0.0571902533237644,0.7410258974102589,10000,0.8692130786921308
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,fibrosis,39,5,0.1935617463789212,0.2316768323167683,10000,0.8434156584341567
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,steatosis,37,4,0.2761956023807987,0.0920907909209079,10000,0.1841815818418158
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,ballooning,37,3,0.4574442387287012,0.0053994600539946,10000,0.0323967603239676
GSE202379,non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,inflammation,37,3,0.1649718845877821,0.3257674232576742,10000,0.7858014198580141
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,fibrosis,20,5,0.1400644844616193,0.5405459454054594,10000,0.7993600639936005
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,steatosis,18,3,-0.0159809854595631,0.9536046395360464,10000,0.9536046395360464
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,ballooning,18,3,0.3081983778511482,0.2155784421557844,10000,0.6935306469353065
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,inflammation,18,3,-0.234755360150449,0.3587641235876412,10000,0.3587641235876412
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,fibrosis,20,5,0.4045437903165206,0.075992400759924,10000,0.227977202279772
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,steatosis,18,3,0.1038764054871605,0.6783321667833216,10000,0.9668033196680332
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,ballooning,18,3,0.4786910975134855,0.0461953804619538,10000,0.2771722827717228
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,inflammation,18,3,-0.0550822632755243,0.8355164483551645,10000,0.8355164483551644
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,fibrosis,20,5,-0.1150250235522795,0.6237376262373763,10000,0.7993600639936005
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,steatosis,18,3,0.1050179044485579,0.6839316068393161,10000,0.8207179282071794
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,ballooning,18,3,0.2360668426093901,0.3434656534346565,10000,0.6935306469353065
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,inflammation,18,3,-0.3383624744067924,0.1726827317268273,10000,0.3453654634536546
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,fibrosis,20,5,-0.0015649663068337,0.9968003199680032,10000,0.9968003199680032
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,steatosis,18,3,0.0102734906525763,0.9668033196680332,10000,0.9668033196680332
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,ballooning,18,3,0.1770501319570425,0.4913508649135086,10000,0.5896210378962105
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,inflammation,18,3,-0.2924605883438555,0.2401759824017598,10000,0.4803519648035196
GSE202379,non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,fibrosis,20,5,-0.4084562060836049,0.0696930306969303,10000,0.2090790920907909
