dataset_id,contrast,program_id,lineage,score_method,n_control,n_case,unadjusted_standardized_beta,unadjusted_hc3_low,unadjusted_hc3_high,unadjusted_p,adjusted_standardized_beta,adjusted_hc3_low,adjusted_hc3_high,adjusted_p,sign_retained,magnitude_retention_ratio,adjusted_fdr_within_context_method,composition_stable,both_adjusted_intervals_positive
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,1.0222952945050283,-0.0397175224846202,2.084308111494677,0.0592007896445805,0.1089532505816784,-1.8154000677337367,2.0333065688970944,0.9116389481082338,True,0.1065770831258996,0.911638948108234,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,singscore,5,9,1.1584571295970216,0.1949337502799238,2.1219805089141195,0.0184463597897785,0.4553507027051029,-1.3598567193004305,2.2705581247106363,0.6229509573532703,True,0.3930665115449721,0.8226935024465869,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,0.9493801853934388,-0.1848864609832987,2.083646831770176,0.1008974516314199,0.5340644091439586,-1.4148704386172395,2.4829992569051567,0.591200902857387,True,0.562540083899722,0.8163012915048565,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,singscore,5,9,-0.2369290852374939,-1.436715927230961,0.9628577567559732,0.6987170267336862,-0.6666053457163876,-3.54152254464431,2.208311853211535,0.6494948703525686,True,2.8135226413768195,0.8226935024465869,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,-0.4026991970237554,-1.4843020657028323,0.6789036716553214,0.4655482504981469,-0.7643730837050535,-3.632971348790425,2.104225181380317,0.6014851621614732,True,1.8981241814096856,0.8163012915048565,True,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,singscore,5,9,0.94502515963458,-0.221457804379861,2.1115081236490214,0.1123106956935126,0.1878245851564824,-1.7024474205018112,2.078096590814776,0.8455863004169129,True,0.1987508832348018,0.8455863004169129,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,0.9278765327348552,-0.1447171329016774,2.000470198371388,0.0899708130202613,0.7761063836975381,-1.021671068633998,2.5738838360290743,0.3974755488949516,True,0.836432818717826,0.6293362857503401,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,singscore,5,9,1.1344783516653827,0.1949389580690891,2.0740177452616764,0.0179490387505066,0.3280106703701093,-1.6312451075677727,2.2872664483079914,0.7428093911903761,True,0.2891290696632499,0.8328935858922787,False,False
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,standardized_mean,5,9,0.6348002392346872,-0.6180844434922907,1.8876849219616647,0.3206734012610087,0.1432831166455434,-2.2605834522873143,2.547149685578401,0.9069976784392974,True,0.2257137092737788,0.911638948108234,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,singscore,6,4,-1.522453924286737,-2.55551456487136,-0.4893932837021142,0.0038706731224482,-1.5863911687623973,-3.3370086014356835,0.1642262639108886,0.0757112525101025,True,1.0419961769980095,0.2877027595383896,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,standardized_mean,6,4,-1.7886354254018224,-2.4834985818323903,-1.0937722689712546,4.5304095586298476e-07,-1.7968809280493885,-2.707818953630187,-0.8859429024685895,0.000110535331756,True,1.0046099403659712,0.0010500856516827,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,singscore,6,4,1.6568942094969352,0.9305206679269382,2.383267751066932,7.79065695705048e-06,1.7097842301090902,0.0503944862294802,3.3691739739887003,0.0434328055570401,True,1.0319211813940816,0.2063058263959407,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,standardized_mean,6,4,1.529445705142512,0.6145537415500356,2.4443376687349883,0.0010507381348609,1.5285841198124253,-0.5870892764931583,3.644257516118009,0.1567434914311176,True,0.9994366682470716,0.5956252674382471,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,singscore,6,4,1.1986135226605457,-0.0634254543309194,2.460652499652011,0.0626739417420404,1.1704871666114105,-0.4391798192761886,2.780154152499009,0.1540890811630728,True,0.976534257692418,0.4182417917283404,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,standardized_mean,6,4,0.2859090884861678,-1.0630361551806975,1.634854332153033,0.6778328510392242,0.1923115930008386,-1.8594546294453675,2.244077815447045,0.8542406769592203,True,0.6726319685012132,0.9547395801308934,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,singscore,6,4,0.4757600455933533,-1.165324650838991,2.1168447420256973,0.5698886776592895,0.6159380997780171,-1.5651251233850292,2.797001322941063,0.5799147462772102,True,1.2946402403544377,0.7345586786177996,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,standardized_mean,6,4,0.0159820959613689,-1.6573437493808034,1.6893079413035414,0.9850643550014798,0.0893440574380446,-1.6942375281593756,1.8729256430354648,0.9217883338914176,True,5.590259103311753,0.9729987968853852,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_5,endothelial,singscore,6,4,1.268240744890759,0.2014417857316837,2.3350397040498345,0.0198006878625173,1.433064106628084,-0.8430422575307288,3.709170470786897,0.217188105596909,True,1.1299622034707,0.515821750792659,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_5,endothelial,standardized_mean,6,4,1.3531048474404688,0.3239277308850465,2.382281963995891,0.0099691069950731,1.439373540803681,-1.192237119886731,4.070984201494093,0.2837054374675889,True,1.0637561039903138,0.7070512827200498,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_6_SAENDO1,endothelial,singscore,6,4,1.5251520917411612,0.7506598883557242,2.299644295126598,0.0001135319834816,1.7309895976049128,0.1934315369284744,3.268547658281351,0.0273436544626572,True,1.1349619536165478,0.196424338281713,True,True
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_6_SAENDO1,endothelial,standardized_mean,6,4,1.6885449589713333,1.04229742330015,2.3347924946425165,3.036342156716343e-07,1.6612691795621803,0.0800783186141116,3.242460040510249,0.0394690656685859,True,0.9838465779283904,0.1874780619257834,True,True
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_7_SAENDO2,endothelial,singscore,6,4,0.399036121710086,-1.0921719704331152,1.890244213853288,0.5999438043351621,0.4581391843458791,-3.3238906160949924,4.240168984786751,0.8123261994011329,True,1.1481145676298783,0.8339923000949223,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_ENDO_7_SAENDO2,endothelial,standardized_mean,6,4,0.5514947065333662,-0.8507897440138297,1.953779157080562,0.4408048695939917,0.5597565486092311,-3.2190835485550737,4.338596645773536,0.7715613224598445,True,1.01498081845209,0.9547395801308934,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,singscore,6,4,1.1617032965456942,0.0036601880573792,2.3197464050340093,0.049276100644398,1.4480682037861392,0.8873582657592034,2.008778141813075,4.152695043586124e-07,True,1.246504342452971,7.890120582813636e-06,True,True
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,standardized_mean,6,4,1.326933851266095,0.3241567090443611,2.3297109934878293,0.0094980343111485,1.5777325261399964,0.9349649345691824,2.2205001177108104,1.5017600219107725e-06,True,1.189006162315176,2.853344041630468e-05,True,True
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,singscore,6,4,-0.6697469785441009,-1.8468251566331635,0.5073311995449615,0.2647550830655343,-0.4701301092835041,-2.3423067778427487,1.4020465592757403,0.622589420482605,True,0.7019518181410466,0.7393249368230934,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,standardized_mean,6,4,0.0836199356645746,-1.1671063167879794,1.3343461881171286,0.8957437243756423,0.3046374343052078,-1.2131664595973637,1.8224413282077796,0.6940312123724941,True,3.6431196925001537,0.9418995025055278,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,singscore,6,4,-1.123261140221297,-2.278670153007425,0.0321478725648307,0.056719607894264,-0.9380784121753248,-1.790525751465741,-0.0856310728849089,0.0310143692023757,True,0.8351383116400797,0.196424338281713,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,standardized_mean,6,4,-0.5955386269672964,-1.8248869135325216,0.633809659597929,0.3423707095331348,-0.4534507049872576,-1.707002210300973,0.8001008003264578,0.4783267716077911,True,0.7614127521776326,0.9088208660548032,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,singscore,6,4,-0.6022291629496866,-2.0745123591918246,0.8700540332924515,0.4227109059945013,-0.3003155370122341,-0.8698956275854864,0.2692645535610182,0.3014049309476597,True,0.4986731886933281,0.5726693688005535,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,standardized_mean,6,4,-1.0107996294538817,-2.15379500639732,0.1321957474895569,0.0830402801792764,-0.7096129314210702,-1.381592708263975,-0.0376331545781654,0.0384741999050939,True,0.7020312540126894,0.1874780619257834,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,singscore,6,4,0.1754127804421817,-1.2208101457858715,1.5716357066702349,0.8054947254190699,0.365964904127867,-0.7027738681847089,1.4347036764404428,0.5021206949062567,True,2.0863069566843437,0.7338687079399135,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,standardized_mean,6,4,0.2368401362600583,-1.052115459842132,1.5257957323622486,0.7187411656707698,0.4326373526921901,-0.6911493761493662,1.556424081533747,0.450510523073812,True,1.826706231148001,0.9088208660548032,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,singscore,6,4,0.2746023647819697,-1.090821484202388,1.6400262137663275,0.6934493063786548,0.523005769613674,-0.9245163083071808,1.9705278475345285,0.4788398659613597,True,1.9045931014794169,0.7338687079399135,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,standardized_mean,6,4,0.5855081652833716,-0.6634831958371161,1.8344995264038595,0.3581906671707932,0.8244605341194706,-0.5003809674265489,2.14930203566549,0.2225690419695822,True,1.4081110785542197,0.7048019662370105,True,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,singscore,6,4,0.5543644822493189,-0.6236413890487927,1.7323703535474304,0.3563368919122314,0.3491407483643945,-2.013715005331488,2.711996502060277,0.7721116329103934,True,0.6298036031236443,0.8339923000949223,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,0.1566992864844281,-1.1486277518098975,1.4620263247787535,0.813983535627221,0.0110760276665348,-3.154935751857685,3.177087807190756,0.9945290312367402,True,0.0706833318455185,0.9945290312367404,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,singscore,6,4,0.43723906557607,-0.890965133997933,1.765443265150073,0.5187823563466127,0.1630630005874174,-1.361878538877748,1.6880045400525827,0.8339923000949223,True,0.3729378580858942,0.8339923000949223,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,0.061501531501254,-1.2845853673594907,1.4075884303619983,0.9286442757952138,-0.1906397081449694,-1.7656455001665785,1.3843660838766392,0.812470875398674,False,3.0997554612291607,0.9547395801308934,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,singscore,6,4,0.763621803387684,-0.5135676448183857,2.040811251593753,0.241249650679273,0.3977151312719315,-0.9983000076446806,1.7937302701885438,0.5765777263015427,True,0.5208273644198385,0.7345586786177996,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,0.782848182880268,-0.5980554165363474,2.163751782296884,0.2665064679903917,0.2795195331363276,-1.0168219054834544,1.5758609717561096,0.6725733955739981,True,0.3570545851022029,0.9418995025055278,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,singscore,6,4,0.7511392808152707,-0.4922374825000132,1.9945160441305547,0.2363892171363503,0.4599491522182123,-0.6332747021051848,1.5531730065416096,0.4095842027740578,True,0.6123353736992603,0.7074636229733726,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,0.7464207500857494,-0.487546387135684,1.9803878873071827,0.2357824692095419,0.4084728994675985,-1.0459569900372745,1.862902788972472,0.5820032422783277,True,0.5472421545363964,0.921505133607352,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,singscore,6,4,1.2122904246243131,0.1166649895712745,2.307915859677352,0.0301050270051585,0.8888175344410704,-0.3324704882148067,2.110105557096948,0.1537441427041206,True,0.7331721148556573,0.4182417917283404,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,1.2156965656760623,-0.1836697235702418,2.6150628549223667,0.0886156234417819,0.7107430409861545,-0.6269774260227828,2.048463507995092,0.2977058032505473,True,0.5846385200495342,0.7070512827200498,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,singscore,6,4,1.0487348001813417,-0.0786377631304622,2.176107363493146,0.068260408260133,0.612111974274267,-0.5330485037628857,1.7572724523114198,0.2947950240973451,True,0.5836670759551641,0.5726693688005535,False,False
GSE256398,mash_cirrhosis_vs_healthy,RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,standardized_mean,6,4,0.6932864958955488,-0.510453028143414,1.897026019934512,0.2589610564606815,0.5037161566983668,-1.1819099043795307,2.1893422177762645,0.5580721565924267,True,0.7265627697647483,0.921505133607352,False,False
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,singscore,6,4,-1.41416400532453,-2.7070953823378483,-0.1212326283112117,0.0320504551551457,-1.0318929513928965,-1.8415342032135595,-0.2222516995722334,0.0124884733212413,True,0.7296840730690866,0.0790936643678618,True,False
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_1,endothelial,standardized_mean,6,4,-1.7080183821719044,-2.6023299690466506,-0.8137067952971583,0.0001815872633451,-1.4466529716696557,-2.0787801567959536,-0.8145257865433576,7.2725155639285294e-06,True,0.8469774018650208,0.0001381777957146,True,False
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,singscore,6,4,1.570321920536165,0.6967792395522265,2.4438646015201035,0.0004260649854018,1.7694134194005022,0.8602332453975456,2.678593593403459,0.0001364695554213,True,1.126783875497554,0.0025929215530062,True,True
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_2,endothelial,standardized_mean,6,4,1.6480981771043566,0.8994913500645773,2.396705004144136,1.5957012350823553e-05,1.831586743428504,0.6540921949110525,3.009081291945956,0.0022978035199844,True,1.111333516942862,0.0145527556265679,True,True
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,singscore,6,4,-0.3240927198888377,-2.1281804413052567,1.4799950015275811,0.72476225235051,0.1155328231688644,-1.5170469769006107,1.7481126232383395,0.8896845485086321,False,0.3564807725656152,0.9689666929283758,False,False
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_3,endothelial,standardized_mean,6,4,-0.7734367340594653,-2.3308110114124574,0.7839375432935268,0.3303584061798066,-0.4574032927709029,-2.1987933861019973,1.2839868005601915,0.6066755952183356,True,0.5913907015641382,0.789242471470203,False,False
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,singscore,6,4,-1.016194675806517,-2.6123706469090693,0.5799812952960353,0.2120966925882906,-0.5349199174407866,-1.5278756978444852,0.458035862962912,0.2910226335899925,True,0.5263951191401786,0.6143811153566507,False,False
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_4,endothelial,standardized_mean,6,4,-1.048634434109785,-2.6311305679963093,0.5338616997767394,0.1940174527255782,-0.5617194851718346,-1.2667919709694044,0.1433530006257354,0.118405989576698,True,0.5356675948264982,0.2619663790755717,False,False
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_5,endothelial,singscore,6,4,0.1734728787810537,-1.5163048271278865,1.863250584689994,0.8405312860866884,0.7253897633115132,-0.3285934639536745,1.7793729905767008,0.177355080266686,True,4.181574482470274,0.481392360723862,True,False
GSE256398,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_5,endothelial,standardized_mean,6,4,0.9688784693371226,-0.3823693676831241,2.3201263063573694,0.1599115847495389,1.3646394329883569,-0.1399934043573349,2.869272270334049,0.0754632431981417,True,1.4084732772749111,0.2048288029663848,True,False
