dataset_id,contrast,lineage,score_method,program_id,n_control,n_case,valid_bootstraps,positive_effect_probability,effect_median,effect_ci95_low,effect_ci95_high,rank_median,rank_ci95_low,rank_ci95_high,top_five_probability,context
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_2,5,9,10000,0.9999,1.375751526992982,0.6247753380928041,2.67394559846584,2.0,1.0,5.0,0.9892,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_3,5,9,10000,0.9687,0.8729747955478389,-0.045927116118069,2.250232183148693,4.0,1.0,6.0,0.893,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_4,5,9,10000,0.8941,0.5368365490548744,-0.3427402787221873,1.6301795291611996,6.0,2.0,6.0,0.452,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_5,5,9,10000,0.9856,1.0425741079834985,0.1030322965450341,2.8146970523331696,4.0,1.0,6.0,0.9171,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_6_SAENDO1,5,9,10000,0.9996,1.4448570580154023,0.5884363364192639,3.186744556812271,2.0,1.0,5.0,0.9771,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,singscore,RAM2019_ENDO_7_SAENDO2,5,9,10000,0.9606,0.9400400938888006,-0.1012059427909489,2.4524935597153386,4.0,1.0,6.0,0.746,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_1,5,9,10000,0.0529,-0.5598809209476001,-1.2951730234796577,0.2380755810312897,7.0,5.0,7.0,0.0463,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_2,5,9,10000,0.9961,1.1434403877609918,0.3212476778396212,2.292106630835915,2.0,1.0,5.0,0.9871,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_3,5,9,10000,0.6788,0.2068116628683811,-0.6936529529750673,1.1618378182857845,5.0,2.0,6.0,0.6754,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_4,5,9,10000,0.6695,0.1808616363953472,-0.75158164735663,1.1637440320192498,5.0,2.0,6.0,0.658,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_5,5,9,10000,0.9518,0.793506570148067,-0.1436376811113379,2.038862759719586,3.0,1.0,6.0,0.9346,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_6_SAENDO1,5,9,10000,0.9969,1.320132991136837,0.3875114203540521,2.6873215241318054,1.0,1.0,4.0,0.9931,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,endothelial,standardized_mean,RAM2019_ENDO_7_SAENDO2,5,9,10000,0.7826,0.4666788902486222,-0.6692041097950016,2.32768540833786,4.0,1.0,7.0,0.7055,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_A_SAM,4,9,10000,0.9995,1.641245032912373,0.6501432091437976,4.395963574282645,2.0,1.0,4.0,0.9987,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_B_SAM,4,9,10000,0.9976,1.3033148903068903,0.4026743226406385,2.6153413269015213,3.0,2.0,4.0,1.0,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_C_KC,4,9,10000,0.4133,-0.1259175543811622,-1.2109966978106246,1.1306785375471498,6.0,5.0,6.0,0.2199,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_D_TMO,4,9,10000,0.6609,0.2988695173994022,-1.6550703012256236,2.0200430857295224,5.0,3.0,6.0,0.7884,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_E_TMO,4,9,10000,1.0,1.6788051062738911,0.8760360214937897,2.9861539280175573,2.0,1.0,3.0,1.0,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_F_CDC1,4,9,10000,0.989,1.0280313350292638,0.1714826636007363,2.1286459066171264,4.0,2.0,5.0,0.993,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_A_SAM,4,9,10000,1.0,1.465733491596248,0.6463167308667278,3.2933848061681403,2.0,1.0,3.0,1.0,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_B_SAM,4,9,10000,0.9728,0.906179561450294,-0.0195834233541358,2.577267995922703,3.0,2.0,4.0,0.9992,244:MASH
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_C_KC,4,9,10000,0.2472,-0.3573216035189039,-1.5702787273061547,0.7279891256881212,6.0,4.0,6.0,0.3644,244:MASH
