lineage,gene_symbol,program_recurrence,measured_gse202379,measured_gse244832,gse202379_n_donors,gse202379_detection_rate,gse202379_stage_spearman_rho,gse244832_n_control,gse244832_n_case,gse244832_detection_rate,gse244832_mash_vs_normal_hedges_g,passes_measurement,passes_discovery_effects,stage_effect_percentile,mash_effect_percentile,mean_discovery_effect_percentile
endothelial,TFF3,2,True,True,39.0,0.4102564102564102,0.3507213829459304,5.0,9.0,0.6428571428571429,1.2241298932809443,True,True,0.9791666666666666,0.9166666666666666,0.9479166666666666
endothelial,TFPI,4,True,True,39.0,1.0,-0.1204291597492104,5.0,9.0,1.0,0.2523516951005663,True,False,0.1875,0.5625,0.375
endothelial,TIMP1,2,True,True,39.0,0.9743589743589745,0.0007292423168204,5.0,9.0,1.0,0.4381958100077528,True,False,0.4791666666666667,0.6041666666666666,0.5416666666666666
endothelial,TIMP3,2,True,True,39.0,1.0,-0.1765808181443872,5.0,9.0,1.0,0.0351845550885386,True,False,0.1041666666666666,0.4791666666666667,0.2916666666666667
endothelial,TM4SF1,2,True,True,39.0,0.9487179487179488,-0.2464963779140406,5.0,9.0,1.0,-0.3009521883951833,True,False,0.0833333333333333,0.2916666666666667,0.1875
endothelial,TMSB10,2,True,True,39.0,0.9743589743589745,-0.0970934056109551,5.0,9.0,1.0,1.3135500537051696,True,False,0.2291666666666666,0.9791666666666666,0.6041666666666666
endothelial,TSPAN7,2,True,True,39.0,1.0,-0.083862866434355,5.0,9.0,1.0,-0.5172186858098207,True,False,0.25,0.1666666666666666,0.2083333333333333
endothelial,VIM,2,True,True,39.0,0.7435897435897436,0.0675525682473783,5.0,9.0,1.0,0.4757761472262116,True,False,0.6458333333333334,0.6458333333333334,0.6458333333333334
mesenchymal_hsc_myofibroblast,ADAMTSL2,2,True,True,24.0,1.0,-0.0399022907600006,5.0,9.0,1.0,0.4255578136804971,True,False,0.313953488372093,0.6162790697674418,0.4651162790697674
mesenchymal_hsc_myofibroblast,ADIRF,2,True,True,24.0,0.9583333333333334,0.2542089759653976,5.0,9.0,1.0,0.4469510061338056,True,True,0.7209302325581395,0.6395348837209303,0.6802325581395349
mesenchymal_hsc_myofibroblast,ALDH1A1,2,True,True,24.0,1.0,0.0847363253217992,5.0,9.0,1.0,0.3820451213775577,True,False,0.5232558139534884,0.5813953488372093,0.5523255813953489
mesenchymal_hsc_myofibroblast,ANXA1,3,True,True,24.0,0.9583333333333334,-0.2846961194674206,5.0,9.0,1.0,-0.1430496323092137,True,False,0.0930232558139534,0.1860465116279069,0.1395348837209302
mesenchymal_hsc_myofibroblast,ANXA2,2,True,True,24.0,0.9583333333333334,0.2546573163110156,5.0,9.0,1.0,-0.211093651961239,True,False,0.7325581395348837,0.1744186046511628,0.4534883720930232
mesenchymal_hsc_myofibroblast,ASPN,2,True,True,24.0,1.0,0.121051893316856,5.0,9.0,1.0,1.1704291766912924,True,True,0.5697674418604651,0.8953488372093024,0.7325581395348837
mesenchymal_hsc_myofibroblast,C11ORF96,2,True,True,24.0,0.75,-0.0905841084093588,5.0,9.0,1.0,0.2773609681413605,True,False,0.2209302325581395,0.5116279069767442,0.3662790697674418
mesenchymal_hsc_myofibroblast,C1R,2,True,True,24.0,1.0,0.2770743335919148,5.0,9.0,1.0,-1.270948654388065,True,False,0.7906976744186046,0.0232558139534883,0.4069767441860465
mesenchymal_hsc_myofibroblast,C1S,2,True,True,24.0,1.0,0.610639550731696,5.0,9.0,1.0,0.4327260577726799,True,True,1.0,0.627906976744186,0.813953488372093
mesenchymal_hsc_myofibroblast,C3,2,True,True,24.0,1.0,0.4967611029447276,5.0,9.0,1.0,-1.5228117886004986,True,False,0.9418604651162792,0.0116279069767441,0.4767441860465116
mesenchymal_hsc_myofibroblast,CCDC80,3,True,True,24.0,0.7083333333333334,0.3081981931387223,5.0,9.0,0.9285714285714286,0.3248444527124611,True,True,0.8372093023255814,0.5465116279069767,0.6918604651162791
mesenchymal_hsc_myofibroblast,CCL21,2,True,True,24.0,0.375,0.1907211427333155,5.0,9.0,0.7857142857142857,0.2266033048111877,True,True,0.6162790697674418,0.4534883720930232,0.5348837209302325
mesenchymal_hsc_myofibroblast,CFH,2,True,True,24.0,1.0,0.5644604951330434,5.0,9.0,1.0,-0.0740475155575453,True,False,0.9767441860465116,0.2209302325581395,0.5988372093023255
mesenchymal_hsc_myofibroblast,COL1A1,2,True,True,24.0,1.0,-0.0412473117968546,5.0,9.0,1.0,0.3061443100028765,True,False,0.2906976744186046,0.5348837209302325,0.4127906976744185
mesenchymal_hsc_myofibroblast,COL1A2,2,True,True,24.0,1.0,0.1936830293069696,5.0,9.0,1.0,0.5406304071679492,True,True,0.6627906976744186,0.6627906976744186,0.6627906976744186
mesenchymal_hsc_myofibroblast,COL3A1,2,True,True,24.0,1.0,-0.4308550721388838,5.0,9.0,1.0,0.1921095158166404,True,False,0.0116279069767441,0.4302325581395348,0.2209302325581395
mesenchymal_hsc_myofibroblast,COL4A2,2,True,True,24.0,1.0,-0.3546372133838263,5.0,9.0,1.0,0.579347054670737,True,False,0.0465116279069767,0.6744186046511628,0.3604651162790697
mesenchymal_hsc_myofibroblast,COL6A1,2,True,True,24.0,1.0,-0.3465670871627025,5.0,9.0,1.0,-0.645146699678579,True,False,0.0581395348837209,0.0581395348837209,0.0581395348837209
mesenchymal_hsc_myofibroblast,COL6A3,2,True,True,24.0,1.0,-0.2286535762651724,5.0,9.0,1.0,-0.0629807099177994,True,False,0.1395348837209302,0.2441860465116279,0.191860465116279
mesenchymal_hsc_myofibroblast,COLEC11,2,True,True,24.0,1.0,-0.2811093967024767,5.0,9.0,1.0,-0.100822147972813,True,False,0.1046511627906976,0.2093023255813953,0.1569767441860465
mesenchymal_hsc_myofibroblast,CST3,2,True,True,24.0,0.875,0.5128992084345869,5.0,9.0,1.0,1.0084605450661055,True,True,0.9534883720930232,0.8488372093023255,0.9011627906976744
mesenchymal_hsc_myofibroblast,CTSD,2,True,False,,,,,,,,False,False,,,
