held_out_dataset,lineage,score_method,program_id,observed_effect_z,predicted_effect_z_from_other_cohorts,n_training_cohorts
GSE181483_human,endothelial,standardized_mean,RAM2019_ENDO_3,-1.1583857042146526,-0.3980078740810143,4
GSE181483_human,endothelial,singscore,RAM2019_ENDO_4,-0.0151245101954603,-0.0557165230344583,4
GSE181483_human,endothelial,standardized_mean,RAM2019_ENDO_4,-0.8378072486651665,-0.0360674480766172,4
GSE181483_human,endothelial,singscore,RAM2019_ENDO_5,0.4031195382639146,-0.0027857371421003,4
GSE181483_human,endothelial,standardized_mean,RAM2019_ENDO_5,0.1442641237050466,0.0786066762433839,4
GSE181483_human,endothelial,singscore,RAM2019_ENDO_6_SAENDO1,1.526258379110129,0.8814542947371693,4
GSE181483_human,endothelial,standardized_mean,RAM2019_ENDO_6_SAENDO1,1.1697266054814732,0.7932249990291107,4
GSE181483_human,endothelial,singscore,RAM2019_ENDO_7_SAENDO2,0.0288981653589348,-0.3435951066247174,3
GSE181483_human,endothelial,standardized_mean,RAM2019_ENDO_7_SAENDO2,-0.0223067576238588,-0.2381821390333277,3
GSE181483_human,macrophage_monocyte,singscore,RAM2019_MAC_SIG_A_SAM,1.7112774716341106,0.7827031320113587,2
GSE181483_human,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_A_SAM,1.183463670042817,0.6163325944831843,2
GSE181483_human,macrophage_monocyte,singscore,RAM2019_MAC_SIG_B_SAM,0.7178796734697088,0.206637152856856,2
GSE181483_human,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_B_SAM,0.4186585397236096,0.039584958311483,2
GSE181483_human,macrophage_monocyte,singscore,RAM2019_MAC_SIG_C_KC,-0.8262531105190158,-1.4487274666747612,2
GSE181483_human,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_C_KC,-1.60693573742056,-1.3454936370547714,2
GSE181483_human,macrophage_monocyte,singscore,RAM2019_MAC_SIG_D_TMO,-0.5563790307580921,0.2479674721531103,2
GSE181483_human,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_D_TMO,-0.2510254048151339,0.2565851352939273,2
GSE181483_human,macrophage_monocyte,singscore,RAM2019_MAC_SIG_E_TMO,-0.6135926440854942,0.0772755497454312,2
GSE181483_human,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_E_TMO,-0.4828815533535024,0.2987472991729527,2
GSE181483_human,macrophage_monocyte,singscore,RAM2019_MAC_SIG_F_CDC1,-0.4329323597412171,0.1341441599080049,2
GSE181483_human,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_F_CDC1,0.73872048582277,0.1342436497932241,2
