analysis_set,lineage,program_id,score_method,n_donors,n_stages,stage_min,stage_max,spearman_rho,spearman_bootstrap_ci95_low,spearman_bootstrap_ci95_high,permutation_p_two_sided,standardized_score_slope_per_stage,hc3_se,hc3_ci95_low,hc3_ci95_high,resamples,fdr_bh,positive_fdr_005,dual_score_positive_fdr_005
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,singscore,39,5,0,4,0.1788727225686802,-0.1412125795117414,0.4653381576877732,0.2833716628337166,0.22506155544178036,0.15060534712600757,-0.07012492492519445,0.5202480358087551,10000,0.7286699901438427,False,False
non_end_stage_primary_exploratory,endothelial,RAM2019_ENDO_6_SAENDO1,standardized_mean,39,5,0,4,0.19356174637892126,-0.15683010738761644,0.5275235730095419,0.23457654234576542,0.14641686394649717,0.14996657313994063,-0.14751761940778646,0.4403513473007808,10000,0.6656565112719497,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,singscore,20,5,0,4,0.14006448446161932,-0.3146011441870213,0.559936839406857,0.5568443155684432,0.1130124531867473,0.21424945937069206,-0.3069164871798091,0.5329413935533037,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,20,5,0,4,0.4045437903165206,-0.09039630427487048,0.7639960586612267,0.07279272072792721,0.35946484369716236,0.21004780489688468,-0.05222885390073162,0.7711585412950563,10000,0.37436256374362564,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,20,5,0,4,-0.11502502355227956,-0.5432047097919527,0.39737891640168777,0.6345365463453655,-0.1501668776139078,0.20397075698175943,-0.5499495612981562,0.24961580607034067,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,standardized_mean,20,5,0,4,-0.0015649663068337354,-0.46738928849050804,0.47035510781703094,0.9964003599640036,-0.032316500173331916,0.1884970325017847,-0.40177068387682996,0.3371376835301661,10000,0.9964003599640036,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,singscore,20,5,0,4,-0.40845620608360494,-0.7896730804666667,0.10412788025674335,0.06969303069693031,-0.48387368957743876,0.21296607090998723,-0.9012871885610138,-0.06646019059386377,10000,0.37436256374362564,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_C_KC,standardized_mean,20,5,0,4,-0.5031366676470459,-0.8123920019279626,-0.037849516727592285,0.023797620237976203,-0.46918284493660783,0.18892735594592608,-0.8394804625906229,-0.09888522728259275,10000,0.37436256374362564,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,singscore,20,5,0,4,-0.0993753604839422,-0.4937055258990062,0.34953896323780226,0.6782321767823217,-0.11213671548414647,0.16971696609553047,-0.4447819690313862,0.22050853806309326,10000,0.8707529247075292,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_D_TMO,standardized_mean,20,5,0,4,0.2715216542356531,-0.1400006855168506,0.6194706629943285,0.24037596240375964,0.23766913732646797,0.1624160587866617,-0.08066633789538899,0.5560046125483249,10000,0.6656565112719497,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,singscore,20,5,0,4,-0.4397555322202797,-0.6969809416732335,-0.05171375595769993,0.05629437056294371,-0.36037094481327503,0.18284221173569495,-0.7187416798152371,-0.0020002098113129363,10000,0.37436256374362564,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_E_TMO,standardized_mean,20,5,0,4,-0.29108373307107477,-0.6415055659489701,0.14236435079582427,0.2131786821317868,-0.18571416239356492,0.19308967307076544,-0.5641699216122651,0.1927415968251353,10000,0.6656565112719497,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,singscore,20,5,0,4,0.03208180929009158,-0.4068705960616841,0.4469982987548725,0.8933106689331067,-0.020075029008332884,0.18247557957270258,-0.3777271649708299,0.3375771069541642,10000,0.9454711671689974,False,False
non_end_stage_primary_exploratory,macrophage_monocyte,RAM2019_MAC_SIG_F_CDC1,standardized_mean,20,5,0,4,0.2034456198883856,-0.27571432724295986,0.6289545042238432,0.38016198380161986,0.19346045679835755,0.19856450414162888,-0.19572597131923503,0.5826468849159501,10000,0.8553644635536447,False,False
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,24,5,0,4,-0.05269144651774246,-0.40742068954808996,0.3107019429753117,0.8005199480051994,-0.041082115748862516,0.15130867740206858,-0.3376471234569169,0.2554828919591919,10000,0.9005849415058493,False,False
