analysis_set,lineage,program_id,score_method,fibrosis_stage_numeric,n_donors,median_score,q25_score,q75_score
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,2,7,0.151225482353694,0.1181726554250791,0.3036428502863726
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,3,5,0.212419607717659,0.1185326208683965,0.2564073848910504
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,singscore,4,2,0.22210267814289825,0.18731601766230438,0.2568893386234921
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,0,3,0.0898028610595401,0.0524443529710263,0.1152351021118858
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,1,7,0.2390252536073538,0.010472121884592511,0.4090096462894888
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,2,7,-0.2532651708016189,-0.2700868622189354,0.42276986524928317
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,3,5,-0.0439295224883657,-0.2270290758760707,0.2369001929575945
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_HSC,standardized_mean,4,2,0.11786579836329171,-0.006490358037948535,0.24222195476453195
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,0,3,0.227322627176254,0.20400766808517495,0.27240219002243254
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,1,7,0.3005956855150078,0.2923640347628661,0.31235897110598915
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,2,7,0.3470046874576042,0.30099906390180986,0.3689445575405221
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,3,5,0.3233772831372525,0.2942644644220353,0.3476072112927248
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,singscore,4,2,0.32545183329312233,0.31483050591102196,0.33607316067522264
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,0,3,-0.4750283959100216,-0.5197437867592829,-0.28976435179780746
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,1,7,0.0113961859690182,-0.05585542879807995,0.02613611064382285
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,2,7,0.1928372705853048,0.0833424478998947,0.37600202621316775
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,3,5,0.1536881973693566,0.0034592335875235,0.200703763472539
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_MESOTHELIAL,standardized_mean,4,2,0.22443098958741176,0.2023949869153527,0.24646699225947077
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,0,3,0.4825955573103619,0.45253822840791513,0.5383221542756957
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,1,7,0.5563454796236149,0.5323733079304197,0.5650351666361142
non_end_stage_primary_exploratory,mesenchymal_hsc_myofibroblast,RAM2019_MES_SAMES,singscore,2,7,0.6038464210041985,0.5201484169399412,0.6285971575267882
