dataset_id,analysis_set,model,lineage,program_id,score_method,histology_axis,n_donors,standardized_beta,hc3_se,hc3_ci95_low,hc3_ci95_high,hc3_p_two_sided,model_r_squared,incremental_r_squared,vif,fdr_within_set_model_lineage_method_axis
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,ballooning,18,0.4807355174612073,0.25373126872618157,-0.016568630993762712,0.9780396659161773,0.05813692115667969,0.2317238888744091,0.22031119280195033,1.0435539835515637,0.3488215269400782
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,inflammation,18,-0.10187290236116442,0.2951010734001299,-0.68026037802453,0.47651457330220115,0.7299337991566188,0.021458985019902177,0.010046288947443416,1.0298848765249997,0.7299337991566187
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,fibrosis,18,-0.26335855912796724,0.5392206657473843,-1.320211643712551,0.7934945254566166,0.6252623576176631,0.4126865089769529,0.028186691774975015,2.323343875966578,0.8846387008319126
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,steatosis,18,-0.30147101551358063,0.664353957308852,-1.6035808448255913,1.00063881379843,0.6499866634444607,0.4126865089769529,0.044098358860817144,1.9712886126230542,0.9763316493847906
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,ballooning,18,0.9322719908428865,0.5414261490093685,-0.12890376150369232,1.9934477431894653,0.08509087938042736,0.4126865089769529,0.3194227365896932,2.5762855040656354,0.5105452762825642
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_A_SAM,standardized_mean,inflammation,18,-0.2699748066686495,0.5293992163642203,-1.3075782041862487,0.7676285908489499,0.6100763327500707,0.4126865089769529,0.04419134732205654,1.6151618824214482,0.94381363840126
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,fibrosis,18,-0.0076612687821227664,0.2448560734712639,-0.48757035418169337,0.47224781661744786,0.9750391700000736,0.07003954512363186,5.201185809911024e-05,1.1214426373292743,0.9750391700000737
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,steatosis,18,0.05699151988472402,0.3216256193566345,-0.573383110559668,0.6873661503291161,0.859352614092038,0.07278554095731016,0.0027980076917774044,1.1554577667052146,0.8752447849965482
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,ballooning,18,0.3382709440687669,0.3689957411278634,-0.38494741899051055,1.0614893071280442,0.3592820416907746,0.1790696441415205,0.10908211087598774,1.0435539835515637,0.8175677606879196
GSE202379,non_end_stage_primary_exploratory,minimal_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,inflammation,18,-0.24347962655787056,0.21535498329289654,-0.6655676377031728,0.1786083845874317,0.25822489056092435,0.12737453832505896,0.05738700505952621,1.0298848765249997,0.41751401110998526
GSE202379,non_end_stage_primary_exploratory,joint_histology_age_sex,macrophage_monocyte,RAM2019_MAC_SIG_B_SAM,singscore,fibrosis,18,-0.34531958160440895,0.5328080236265446,-1.3896041185864025,0.6989649553775845,0.5169121395240924,0.4215649973652231,0.04846091876511027,2.323343875966578,0.8837606456026553
