dataset_id,contrast,lineage,score_method,program_id,n_control,n_case,valid_bootstraps,positive_effect_probability,effect_median,effect_ci95_low,effect_ci95_high,rank_median,rank_ci95_low,rank_ci95_high,top_five_probability
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_D_TMO,4,9,10000,0.6609,0.29886951739940226,-1.6550703012256236,2.0200430857295224,5.0,3.0,6.0,0.7884
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_E_TMO,4,9,10000,1.0,1.6788051062738911,0.8760360214937897,2.9861539280175573,2.0,1.0,3.0,1.0
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,singscore,RAM2019_MAC_SIG_F_CDC1,4,9,10000,0.989,1.0280313350292638,0.17148266360073633,2.1286459066171264,4.0,2.0,5.0,0.993
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_A_SAM,4,9,10000,1.0,1.4657334915962479,0.6463167308667278,3.2933848061681403,2.0,1.0,3.0,1.0
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_B_SAM,4,9,10000,0.9728,0.9061795614502941,-0.019583423354135873,2.577267995922703,3.0,2.0,4.0,0.9992
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_C_KC,4,9,10000,0.2472,-0.35732160351890396,-1.5702787273061547,0.7279891256881212,6.0,4.0,6.0,0.3644
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_D_TMO,4,9,10000,0.4023,-0.16519604468527477,-1.7856543304725567,1.2026521591324206,5.0,3.0,6.0,0.6476
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_E_TMO,4,9,10000,0.9994,1.611601577217204,0.6829745570953445,3.091258364628766,1.0,1.0,3.0,1.0
GSE244832,mash_f2f4_group_vs_normal_sensitivity,macrophage_monocyte,standardized_mean,RAM2019_MAC_SIG_F_CDC1,4,9,10000,0.8935,0.5322090625073281,-0.3614814201732554,1.459936043163795,4.0,3.0,5.0,0.9888
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_HSC,5,9,10000,0.9623,1.0209953937413703,-0.13287844119560013,3.025200807605981,4.0,1.0,6.0,0.9501
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_MESOTHELIAL,5,9,10000,1.0,1.7322096153714654,0.8466019987147401,4.142412686081505,1.0,1.0,4.0,1.0
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_SAMES,5,9,10000,0.9966,1.3622632583197467,0.3760133321454715,3.145702315200404,3.0,1.0,5.0,0.9899
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_MES_VSMC,5,9,10000,0.3263,-0.22357751137758053,-1.2616115709533353,0.912425595463167,6.0,3.0,6.0,0.1307
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_A,5,9,10000,0.972,1.0307287397411247,-0.03099162724218826,2.6417075974432156,4.0,1.0,6.0,0.9299
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,singscore,RAM2019_SAMES_B,5,9,10000,0.9978,1.3000253282030383,0.39356437628932806,2.9864465005590324,3.0,1.0,5.0,0.9994
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_HSC,5,9,10000,0.8223,0.5581170327093296,-0.7432262594370562,2.2682110110696696,4.0,1.0,6.0,0.8559
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_MESOTHELIAL,5,9,10000,0.9808,1.1614288831495898,0.05274386723411298,4.140666911008806,2.0,1.0,4.0,0.9999
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_SAMES,5,9,10000,0.9676,1.057591423227373,-0.06450674150520734,3.34065766568621,2.0,1.0,5.0,0.9893
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_MES_VSMC,5,9,10000,0.1964,-0.3885068036427578,-1.406607209908485,0.5916636498866893,6.0,3.0,6.0,0.209
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_A,5,9,10000,0.9805,1.045551811759204,0.045559961288134845,3.010509515553211,3.0,1.0,5.0,0.9898
GSE244832,mash_f2f4_group_vs_normal_sensitivity,mesenchymal_hsc_myofibroblast,standardized_mean,RAM2019_SAMES_B,5,9,10000,0.8792,0.6493644385073558,-0.4576770065092494,2.1636714822683496,4.0,2.0,6.0,0.9561
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_1,6,4,10000,0.0,-2.3743243942605963,-5.922223784715669,-1.2991112564725036,7.0,7.0,7.0,0.0
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_2,6,4,10000,1.0,3.029870293693012,1.9145003013523487,5.523709132369625,1.0,1.0,3.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_3,6,4,10000,0.9981,1.4423693099594281,0.5943829728559491,2.9424915887891,4.0,1.0,5.0,0.9914
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_4,6,4,10000,0.7665,0.4727094496200157,-0.9208616056415856,2.3223550199776666,5.0,3.0,6.0,0.5314
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_5,6,4,10000,0.9999,1.6260541675647673,0.8134399109040938,3.144147108392407,3.0,3.0,5.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_6_SAENDO1,6,4,10000,1.0,2.3743222087999394,1.57304048139157,4.410809033523186,2.0,1.0,3.0,0.9999
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,singscore,RAM2019_ENDO_7_SAENDO2,6,4,10000,0.7461,0.40733039562201084,-0.7615609381362521,2.2684241495965463,6.0,3.0,6.0,0.4773
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_1,6,4,10000,0.0,-4.4238352171576905,-12.537112274328138,-3.547316337847739,7.0,7.0,7.0,0.0
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_2,6,4,10000,0.9999,2.3404750595923742,1.031305750091535,7.107310200790061,2.0,1.0,4.0,1.0
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_3,6,4,10000,0.6835,0.24072239753576274,-1.2446833582168693,1.3578160081052806,5.0,3.0,6.0,0.7136
GSE256398_human,mash_cirrhosis_vs_healthy,endothelial,standardized_mean,RAM2019_ENDO_4,6,4,10000,0.5049,0.01005856017909596,-1.515564988024043,1.8584755482599424,6.0,4.0,6.0,0.4974
