dataset_id,contrast,program_id,lineage,score_method,analysis_tier,cell_gate,coverage_tier,program_coverage,expected_direction,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_6_SAENDO1,endothelial,standardized_mean,post_lock_external,30,primary,1.0,positive_case_higher,6,4,-0.5209975078986476,0.4728657268199131,0.9938632347185608,0.4289265023314349,2.3170944889541816,2.0928595384102286,0.7349248432077531,0.6524068457230325,3.5333122310974248,0.830915448247494,0.46426525984514044,3.721453816975317,0.009523809523809525,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_7_SAENDO2,endothelial,singscore,post_lock_external,30,primary,1.0,positive_case_higher,6,4,0.4754185967724071,0.3152304888298184,-0.1601881079425887,0.18756401242362053,-0.8540450050769745,-0.7713954884566221,0.7613147053730546,-2.2635723109878088,0.7207813340745648,0.6736893602710143,-2.09182663458781,0.5490356576745661,0.23809523809523808,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_ENDO_7_SAENDO2,endothelial,standardized_mean,post_lock_external,30,primary,1.0,positive_case_higher,6,4,0.07980837859049844,-0.2302254389038957,-0.3100338174943942,0.597518061629272,-0.5188693654699155,-0.46865620106960104,0.6992764924341193,-1.839238126240475,0.9019257241012727,0.6560442678217138,-1.7545029660001599,0.8171905638609579,0.4523809523809524,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,singscore,post_lock_external,30,primary,0.9393939393939394,positive_case_higher,6,4,0.4138782187952363,0.44859491714111915,0.03471669834588287,0.09464432361015863,0.3668122611228272,0.3313143003690052,0.7019680076516103,-1.0445429946281508,1.7071715953661615,0.6507897045271072,-0.9442335205041247,1.606862121242135,0.5952380952380952,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,standardized_mean,post_lock_external,30,primary,0.9393939393939394,positive_case_higher,6,4,-0.27571121387818515,-0.007494478419412413,0.2682167354587727,0.3150852572990602,0.8512513018157412,0.7688721435755081,0.6886798666785584,-0.5809403951144663,2.1186846822654823,0.6735090496716184,-0.551205593780864,2.0889498809318803,0.26666666666666666,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,singscore,post_lock_external,30,primary,0.9587628865979382,positive_case_higher,6,4,0.6396692439220143,0.541706917142558,-0.09796232677945627,0.0765391872787707,-1.279897661085142,-1.1560365971091604,0.7336689490557331,-2.594027737258397,0.2819545430400765,0.7072432078377633,-2.5422332844711764,0.23016009025285555,0.09047619047619047,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,standardized_mean,post_lock_external,30,primary,0.9587628865979382,positive_case_higher,6,4,-0.010735678218883571,-0.09704180480226998,-0.0863061265833864,0.2653618060415255,-0.32523944523455905,-0.29376466021185976,0.6142054686066123,-1.49760737868082,0.9100780582571004,0.6496616591665261,-1.5671015121782508,0.9795721917545313,0.6238095238095238,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,singscore,post_lock_external,30,primary,0.9759036144578314,positive_case_higher,6,4,0.8275366291671388,0.7273291464135525,-0.10020748275358626,0.06091555482447512,-1.64502290165999,-1.4858271369832168,0.820331534032589,-3.093676943687091,0.12202266972065745,0.7447461374380538,-2.9455295663618024,-0.02612470760463137,0.023809523809523808,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,standardized_mean,post_lock_external,30,primary,0.9759036144578314,positive_case_higher,6,4,0.1153020781575503,-0.23415290737097907,-0.3494549855285294,0.35361511278705904,-0.9882354370384763,-0.8925997495831398,0.8028258995396164,-2.466138512680788,0.6809390135145083,0.6829806448402542,-2.2312418134700382,0.4460423143037585,0.14761904761904762,exact_210_allocations
GSE256398_human,alcohol_cirrhosis_vs_healthy,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,singscore,post_lock_external,30,primary,0.806060606060606,positive_case_higher,6,4,0.3095966143513455,0.2484314715507635,-0.061165142800581995,0.0608552274275297,-1.005092666417546,-0.9078256341835899,0.7654873729200811,-2.408180885106949,0.592529616739769,0.6842337890273462,-2.2489238606771886,0.4332725923100088,0.16666666666666666,exact_210_allocations
