lineage,pathway_name,direction,significant_contexts,contexts,median_nes,minimum_absolute_nes
mesenchymal_hsc_myofibroblast,PKMTs methylate histone lysines,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7507660353818721,1.7507660353818721
macrophage_monocyte,Cytosolic sulfonation of small molecules,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7507035871082597,1.7507035871082597
mesenchymal_hsc_myofibroblast,Signaling by BMP,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7502468521539354,1.7502468521539354
mesenchymal_hsc_myofibroblast,Assembly of collagen fibrils and other multimeric structures,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.748567689080273,1.748567689080273
mesenchymal_hsc_myofibroblast,PKA-mediated phosphorylation of CREB,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7455376581454471,1.7455376581454471
macrophage_monocyte,AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7451859092750321,1.7451859092750321
macrophage_monocyte,Metabolism of water-soluble vitamins and cofactors,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.743914706307421,1.743914706307421
mesenchymal_hsc_myofibroblast,Cytochrome P450 - arranged by substrate type,positive,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,1.7426068993129626,1.7426068993129626
mesenchymal_hsc_myofibroblast,Cholesterol biosynthesis,positive,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,1.742087541823914,1.742087541823914
endothelial,Glyoxylate metabolism and glycine degradation,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.740291843514279,1.740291843514279
endothelial,Regulation of beta-cell development,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7402668066131197,1.7402668066131197
endothelial,Somatic hypermutation of immunoglobulin genes,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.7394343625057547,1.7394343625057547
mesenchymal_hsc_myofibroblast,Plasma lipoprotein clearance,positive,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,1.7392655100543606,1.7392655100543606
mesenchymal_hsc_myofibroblast,FGFR1 mutant receptor activation,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7387502453923729,1.7387502453923729
mesenchymal_hsc_myofibroblast,Activation of the pre-replicative complex,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.736072754173868,1.736072754173868
endothelial,Metabolism of polyamines,negative,1,GSE244832::mash_f2f4_group_vs_normal_sensitivity,-1.734812720547233,1.734812720547233
mesenchymal_hsc_myofibroblast,SLC-mediated transmembrane transport,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7346805327515928,1.7346805327515928
mesenchymal_hsc_myofibroblast,Cilium Assembly,negative,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,-1.7342031807766678,1.7342031807766678
mesenchymal_hsc_myofibroblast,Integrin signaling,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.733279863371521,1.733279863371521
mesenchymal_hsc_myofibroblast,Regulation of Complement cascade,positive,1,GSE202379::advanced_f3f4_vs_f0_non_end_stage,1.7332025818130465,1.7332025818130465
mesenchymal_hsc_myofibroblast,Complex IV assembly,negative,1,GSE256398_human::alcohol_cirrhosis_vs_healthy,-1.7308422595543413,1.7308422595543413
