dataset_id,contrast,program_id,lineage,score_method,analysis_tier,cell_gate,coverage_tier,program_coverage,expected_direction,endpoint_limitation,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,standardized_mean,sensitivity,30,primary,0.8787878787878788,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,-0.30452921025129,0.20427979610175293,0.5088090063530429,0.3424166439008526,1.4859353814015233,1.3822654710711844,0.4507426885947702,0.49880980142543485,2.2657211407169338,0.66929753802571,0.0704422965407927,2.694088645601576,0.03496503496503497,exact_715_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,singscore,sensitivity,30,primary,0.9455081001472754,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,0.47528472626419954,0.53594777873521,0.0606630524710105,0.04625591497309852,1.31146584185592,1.2199682249822512,0.6219073621794354,0.0010297951105577852,2.4389066548539446,0.6547993070195002,-0.06343841677596918,2.5033748667404714,0.06013986013986014,exact_715_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,standardized_mean,sensitivity,30,primary,0.9455081001472754,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,-0.04386013906281774,0.12500328862075527,0.16886342768357301,0.18420195997173458,0.9167298095497179,0.8527719158602027,0.5336945450826224,-0.19326939250173703,1.8988132242221425,0.6278268574623944,-0.37776872476609036,2.083312556486496,0.14685314685314685,exact_715_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,singscore,sensitivity,30,primary,0.9698795180722892,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,0.7588443687811363,0.7554902886344148,-0.00335408014672145,0.03780050502847562,-0.08873109351832142,-0.08254055211006645,0.6450879664939632,-1.3469129664382342,1.1818318622181014,0.601182826041035,-1.260858891150495,1.0957777869303622,0.8937062937062937,exact_715_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_C_KC,macrophage_monocyte,standardized_mean,sensitivity,30,primary,0.9698795180722892,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,0.12352416364731197,0.0470232382719505,-0.07650092537536148,0.22597658005547588,-0.33853475150646567,-0.3149160479129913,0.5958939590662485,-1.4828682076828383,0.8530361118568557,0.6046643156510133,-1.5000581065889773,0.8702260107629947,0.5776223776223777,exact_715_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,singscore,sensitivity,30,primary,0.8,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,0.1971151033651034,0.2086195211195211,0.011504417754417684,0.03309574420509606,0.34761018465468563,0.3233583113066843,0.8895482060550115,-1.4201561725611382,2.0668727951745067,0.6048668163674754,-0.8621806487735675,1.508897271386936,0.5916083916083916,exact_715_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,standardized_mean,sensitivity,30,primary,0.8,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,0.03026873301011372,0.0043017319536068355,-0.025967001056506886,0.1828489237464198,-0.14201342028416133,-0.1321055072410803,0.7253211218586627,-1.5537349060840593,1.2895238916018985,0.6015848881945041,-1.3112118881023083,1.0470008736201475,0.8111888111888111,exact_715_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,singscore,sensitivity,30,primary,0.933085501858736,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,0.4833151345783884,0.543659098931497,0.060343964353108626,0.035621571592242406,1.694028692609683,1.5758406442880772,0.7030713662858437,0.19782076636782375,2.9538605222083305,0.6884672759317253,0.22644478346189567,2.925236505114259,0.012587412587412588,exact_715_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,standardized_mean,sensitivity,30,primary,0.933085501858736,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,-0.16584088346743892,0.11204409652402167,0.27788497999146056,0.1724427383266829,1.6114623479535763,1.4990347422823966,0.6364246886889611,0.25164235245203304,2.7464271321127605,0.6806263693704931,0.1650070583162302,2.833062426248563,0.022377622377622378,exact_715_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,singscore,sensitivity,30,primary,0.9384615384615383,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,0.3354324604451741,0.37960918003726934,0.04417671959209524,0.042074651059976736,1.0499604507503113,0.9767073960468012,0.5646700331614513,-0.1300458689496432,2.0834606610432456,0.6359817672464063,-0.2698168677561551,2.2232316598497577,0.11188811188811189,exact_715_allocations
GSE244832,mash_f2f4_group_vs_normal_sensitivity,RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,standardized_mean,sensitivity,30,primary,0.9384615384615383,positive_case_higher,MASH group spans F2-F4; donor-level stage unavailable,4,9,-0.04438503038516347,0.07427763668538245,0.11866266707054593,0.22378963290975282,0.5302420202744547,0.49324839095298106,0.47747770549438123,-0.44260791181600617,1.4291046937219682,0.6100573154750651,-0.7024639473781467,1.6889607292841087,0.4027972027972028,exact_715_allocations
